#=====================================================
# File created:        Sat-18-Oct-2025-at-08-21-12PM
# Size of lattice:     1x1
# Number of MC steps:  132
# Reduced temperature: 0.500
# Run time (s):        0.005586
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000      -4.0000  1.0000 
   00001    1.0000      -4.0000  1.0000 
   00002    1.0000      -4.0000  1.0000 
   00003    1.0000      -4.0000  1.0000 
   00004    1.0000      -4.0000  1.0000 
   00005    1.0000      -4.0000  1.0000 
   00006    1.0000      -4.0000  1.0000 
   00007    1.0000      -4.0000  1.0000 
   00008    1.0000      -4.0000  1.0000 
   00009    1.0000      -4.0000  1.0000 
   00010    1.0000      -4.0000  1.0000 
   00011    1.0000      -4.0000  1.0000 
   00012    1.0000      -4.0000  1.0000 
   00013    1.0000      -4.0000  1.0000 
   00014    1.0000      -4.0000  1.0000 
   00015    1.0000      -4.0000  1.0000 
   00016    1.0000      -4.0000  1.0000 
   00017    1.0000      -4.0000  1.0000 
   00018    1.0000      -4.0000  1.0000 
   00019    1.0000      -4.0000  1.0000 
   00020    1.0000      -4.0000  1.0000 
   00021    1.0000      -4.0000  1.0000 
   00022    1.0000      -4.0000  1.0000 
   00023    1.0000      -4.0000  1.0000 
   00024    1.0000      -4.0000  1.0000 
   00025    1.0000      -4.0000  1.0000 
   00026    1.0000      -4.0000  1.0000 
   00027    1.0000      -4.0000  1.0000 
   00028    1.0000      -4.0000  1.0000 
   00029    1.0000      -4.0000  1.0000 
   00030    1.0000      -4.0000  1.0000 
   00031    1.0000      -4.0000  1.0000 
   00032    1.0000      -4.0000  1.0000 
   00033    1.0000      -4.0000  1.0000 
   00034    1.0000      -4.0000  1.0000 
   00035    1.0000      -4.0000  1.0000 
   00036    1.0000      -4.0000  1.0000 
   00037    1.0000      -4.0000  1.0000 
   00038    1.0000      -4.0000  1.0000 
   00039    1.0000      -4.0000  1.0000 
   00040    1.0000      -4.0000  1.0000 
   00041    1.0000      -4.0000  1.0000 
   00042    1.0000      -4.0000  1.0000 
   00043    1.0000      -4.0000  1.0000 
   00044    1.0000      -4.0000  1.0000 
   00045    1.0000      -4.0000  1.0000 
   00046    1.0000      -4.0000  1.0000 
   00047    1.0000      -4.0000  1.0000 
   00048    1.0000      -4.0000  1.0000 
   00049    1.0000      -4.0000  1.0000 
   00050    1.0000      -4.0000  1.0000 
   00051    1.0000      -4.0000  1.0000 
   00052    1.0000      -4.0000  1.0000 
   00053    1.0000      -4.0000  1.0000 
   00054    1.0000      -4.0000  1.0000 
   00055    1.0000      -4.0000  1.0000 
   00056    1.0000      -4.0000  1.0000 
   00057    1.0000      -4.0000  1.0000 
   00058    1.0000      -4.0000  1.0000 
   00059    1.0000      -4.0000  1.0000 
   00060    1.0000      -4.0000  1.0000 
   00061    1.0000      -4.0000  1.0000 
   00062    1.0000      -4.0000  1.0000 
   00063    1.0000      -4.0000  1.0000 
   00064    1.0000      -4.0000  1.0000 
   00065    1.0000      -4.0000  1.0000 
   00066    1.0000      -4.0000  1.0000 
   00067    1.0000      -4.0000  1.0000 
   00068    1.0000      -4.0000  1.0000 
   00069    1.0000      -4.0000  1.0000 
   00070    1.0000      -4.0000  1.0000 
   00071    1.0000      -4.0000  1.0000 
   00072    1.0000      -4.0000  1.0000 
   00073    1.0000      -4.0000  1.0000 
   00074    1.0000      -4.0000  1.0000 
   00075    1.0000      -4.0000  1.0000 
   00076    1.0000      -4.0000  1.0000 
   00077    1.0000      -4.0000  1.0000 
   00078    1.0000      -4.0000  1.0000 
   00079    1.0000      -4.0000  1.0000 
   00080    1.0000      -4.0000  1.0000 
   00081    1.0000      -4.0000  1.0000 
   00082    1.0000      -4.0000  1.0000 
   00083    1.0000      -4.0000  1.0000 
   00084    1.0000      -4.0000  1.0000 
   00085    1.0000      -4.0000  1.0000 
   00086    1.0000      -4.0000  1.0000 
   00087    1.0000      -4.0000  1.0000 
   00088    1.0000      -4.0000  1.0000 
   00089    1.0000      -4.0000  1.0000 
   00090    1.0000      -4.0000  1.0000 
   00091    1.0000      -4.0000  1.0000 
   00092    1.0000      -4.0000  1.0000 
   00093    1.0000      -4.0000  1.0000 
   00094    1.0000      -4.0000  1.0000 
   00095    1.0000      -4.0000  1.0000 
   00096    1.0000      -4.0000  1.0000 
   00097    1.0000      -4.0000  1.0000 
   00098    1.0000      -4.0000  1.0000 
   00099    1.0000      -4.0000  1.0000 
   00100    1.0000      -4.0000  1.0000 
   00101    1.0000      -4.0000  1.0000 
   00102    1.0000      -4.0000  1.0000 
   00103    1.0000      -4.0000  1.0000 
   00104    1.0000      -4.0000  1.0000 
   00105    1.0000      -4.0000  1.0000 
   00106    1.0000      -4.0000  1.0000 
   00107    1.0000      -4.0000  1.0000 
   00108    1.0000      -4.0000  1.0000 
   00109    1.0000      -4.0000  1.0000 
   00110    1.0000      -4.0000  1.0000 
   00111    1.0000      -4.0000  1.0000 
   00112    1.0000      -4.0000  1.0000 
   00113    1.0000      -4.0000  1.0000 
   00114    1.0000      -4.0000  1.0000 
   00115    1.0000      -4.0000  1.0000 
   00116    1.0000      -4.0000  1.0000 
   00117    1.0000      -4.0000  1.0000 
   00118    1.0000      -4.0000  1.0000 
   00119    1.0000      -4.0000  1.0000 
   00120    1.0000      -4.0000  1.0000 
   00121    1.0000      -4.0000  1.0000 
   00122    1.0000      -4.0000  1.0000 
   00123    1.0000      -4.0000  1.0000 
   00124    1.0000      -4.0000  1.0000 
   00125    1.0000      -4.0000  1.0000 
   00126    1.0000      -4.0000  1.0000 
   00127    1.0000      -4.0000  1.0000 
   00128    1.0000      -4.0000  1.0000 
   00129    1.0000      -4.0000  1.0000 
   00130    1.0000      -4.0000  1.0000 
   00131    1.0000      -4.0000  1.0000 
   00132    1.0000      -4.0000  1.0000 
