#=====================================================
# File created:        Thu-23-Oct-2025-at-12-13-45PM
# Size of lattice:     2x2
# Number of MC steps:  132
# Reduced temperature: 0.500
# Run time (s):        0.006424
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000       5.9677  0.3910 
   00001    0.7500      -3.6285  0.4482 
   00002    0.7500     -13.2491  0.9125 
   00003    0.2500     -13.2110  0.9105 
   00004    0.2500     -14.0435  0.9365 
   00005    0.5000     -14.5835  0.9550 
   00006    0.5000     -14.4007  0.9511 
   00007    0.5000     -14.9678  0.9682 
   00008    0.2500     -15.5026  0.9907 
   00009    0.0000     -15.5026  0.9907 
   00010    0.2500     -15.5740  0.9871 
   00011    0.5000     -15.0639  0.9833 
   00012    0.7500     -15.5002  0.9872 
   00013    0.2500     -15.5076  0.9886 
   00014    0.5000     -15.3737  0.9845 
   00015    0.2500     -15.3328  0.9840 
   00016    0.2500     -15.4631  0.9831 
   00017    0.0000     -15.4631  0.9831 
   00018    0.5000     -15.4423  0.9860 
   00019    0.5000     -15.8222  0.9950 
   00020    0.5000     -14.6239  0.9715 
   00021    0.5000     -14.1460  0.9651 
   00022    0.5000     -15.5719  0.9872 
   00023    0.5000     -15.6584  0.9899 
   00024    0.0000     -15.6584  0.9899 
   00025    0.0000     -15.6584  0.9899 
   00026    0.7500     -15.6419  0.9916 
   00027    0.2500     -13.9775  0.9527 
   00028    0.7500     -15.2993  0.9856 
   00029    0.5000     -14.5754  0.9562 
   00030    0.2500     -14.5519  0.9719 
   00031    0.5000     -15.0941  0.9717 
   00032    0.2500     -15.4283  0.9826 
   00033    0.0000     -15.4283  0.9826 
   00034    0.2500     -15.5563  0.9878 
   00035    0.0000     -15.5563  0.9878 
   00036    0.5000     -15.5792  0.9910 
   00037    0.7500     -15.6817  0.9934 
   00038    0.7500     -12.2454  0.9165 
   00039    0.5000     -14.3329  0.9537 
   00040    0.7500     -12.6701  0.9348 
   00041    0.2500     -12.7897  0.9348 
   00042    1.0000     -13.8007  0.9618 
   00043    0.7500     -14.3202  0.9517 
   00044    0.5000     -13.7394  0.9361 
   00045    0.0000     -13.7394  0.9361 
   00046    0.0000     -13.7394  0.9361 
   00047    0.2500     -12.1918  0.8772 
   00048    0.7500     -14.2793  0.9457 
   00049    0.0000     -14.2793  0.9457 
   00050    0.5000     -15.1802  0.9777 
   00051    0.5000     -15.7143  0.9913 
   00052    0.0000     -15.7143  0.9913 
   00053    0.7500     -15.8204  0.9945 
   00054    0.0000     -15.8204  0.9945 
   00055    0.2500     -12.2136  0.9151 
   00056    0.2500     -11.4695  0.9000 
   00057    1.0000     -12.6457  0.8921 
   00058    0.2500     -14.2846  0.9510 
   00059    0.0000     -14.2846  0.9510 
   00060    0.7500     -15.1745  0.9761 
   00061    0.0000     -15.1745  0.9761 
   00062    0.2500     -14.8787  0.9719 
   00063    0.2500     -15.6691  0.9928 
   00064    0.2500     -15.1778  0.9765 
   00065    0.0000     -15.1778  0.9765 
   00066    0.2500     -15.3267  0.9800 
   00067    0.0000     -15.3267  0.9800 
   00068    0.2500     -15.1741  0.9783 
   00069    0.5000     -15.1180  0.9721 
   00070    0.2500     -15.0437  0.9699 
   00071    0.5000     -15.2439  0.9823 
   00072    0.2500     -15.1847  0.9838 
   00073    0.0000     -15.1847  0.9838 
   00074    0.0000     -15.1847  0.9838 
   00075    0.2500     -14.6673  0.9737 
   00076    0.2500     -15.6910  0.9910 
   00077    0.7500     -13.5297  0.9272 
   00078    0.0000     -13.5297  0.9272 
   00079    0.5000     -13.6579  0.9405 
   00080    0.2500     -15.3872  0.9827 
   00081    0.0000     -15.3872  0.9827 
   00082    0.5000     -15.0748  0.9794 
   00083    0.5000     -15.3035  0.9794 
   00084    0.0000     -15.3035  0.9794 
   00085    0.0000     -15.3035  0.9794 
   00086    0.5000     -15.1113  0.9826 
   00087    0.7500     -14.7229  0.9699 
   00088    0.2500     -14.7620  0.9675 
   00089    0.2500     -14.7701  0.9661 
   00090    0.2500     -15.0926  0.9742 
   00091    0.0000     -15.0926  0.9742 
   00092    0.2500     -15.4405  0.9829 
   00093    0.7500     -13.9742  0.9350 
   00094    0.5000     -14.7702  0.9743 
   00095    0.5000     -12.8072  0.9170 
   00096    0.2500     -14.3083  0.9516 
   00097    0.2500     -15.5062  0.9920 
   00098    0.5000     -15.7776  0.9939 
   00099    0.0000     -15.7776  0.9939 
   00100    0.2500     -15.2941  0.9882 
   00101    0.2500     -15.7082  0.9951 
   00102    0.2500     -14.9637  0.9798 
   00103    0.5000     -14.7650  0.9736 
   00104    0.2500     -15.5304  0.9894 
   00105    0.5000     -15.0991  0.9731 
   00106    0.2500     -14.9179  0.9733 
   00107    1.0000     -14.0537  0.9383 
   00108    1.0000     -15.7735  0.9939 
   00109    0.5000     -14.3427  0.9633 
   00110    0.2500     -14.4424  0.9648 
   00111    0.2500     -15.9432  0.9989 
   00112    0.7500     -11.2299  0.8514 
   00113    1.0000     -10.8508  0.8347 
   00114    0.5000     -12.9403  0.9004 
   00115    0.5000     -13.5918  0.9314 
   00116    0.5000     -13.3500  0.9242 
   00117    0.2500     -13.6349  0.9244 
   00118    1.0000     -15.0019  0.9781 
   00119    0.7500     -14.9636  0.9774 
   00120    0.5000     -15.1865  0.9784 
   00121    0.2500     -15.4477  0.9845 
   00122    0.7500     -15.2730  0.9772 
   00123    0.5000     -11.6483  0.8871 
   00124    0.2500     -12.5566  0.9101 
   00125    0.5000     -15.6571  0.9896 
   00126    0.5000     -15.6414  0.9890 
   00127    0.7500     -14.8047  0.9716 
   00128    0.2500     -15.2905  0.9821 
   00129    0.2500     -14.4709  0.9679 
   00130    0.5000     -14.6705  0.9690 
   00131    0.5000     -14.1094  0.9598 
   00132    0.2500     -15.3156  0.9863 
