#=====================================================
# File created:        Tue-21-Oct-2025-at-02-41-50PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        9.685213
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9780.7601  0.2609 
   00001    0.6784  -14746.3493  0.2632 
   00002    0.6209  -18100.5582  0.2660 
   00003    0.5786  -20206.3076  0.2681 
   00004    0.5546  -22048.8043  0.2750 
   00005    0.5306  -23359.4261  0.2827 
   00006    0.5252  -24451.1538  0.2840 
   00007    0.5101  -25433.7661  0.2891 
   00008    0.5096  -26103.7343  0.2878 
   00009    0.4849  -26852.2363  0.2954 
   00010    0.4858  -27350.5971  0.2980 
   00011    0.4886  -27999.8859  0.3018 
   00012    0.4687  -28435.6993  0.3064 
   00013    0.4666  -28856.7161  0.3089 
   00014    0.4780  -29078.6994  0.3070 
   00015    0.4612  -29326.4432  0.3115 
   00016    0.4588  -29610.9533  0.3161 
   00017    0.4523  -29834.8756  0.3162 
   00018    0.4476  -30067.2641  0.3162 
   00019    0.4509  -30198.9393  0.3191 
   00020    0.4527  -30246.5501  0.3239 
   00021    0.4485  -30428.3122  0.3247 
   00022    0.4478  -30657.4960  0.3257 
   00023    0.4349  -30785.1532  0.3265 
   00024    0.4413  -30936.3025  0.3264 
   00025    0.4424  -30995.5314  0.3267 
   00026    0.4401  -31135.7365  0.3276 
   00027    0.4359  -31293.1993  0.3267 
   00028    0.4371  -31422.0982  0.3269 
   00029    0.4236  -31501.2568  0.3268 
   00030    0.4397  -31530.8876  0.3307 
   00031    0.4355  -31647.1036  0.3316 
   00032    0.4323  -31759.0514  0.3311 
   00033    0.4363  -31745.6251  0.3360 
   00034    0.4341  -31759.9694  0.3374 
   00035    0.4402  -31898.4061  0.3391 
   00036    0.4357  -31904.0300  0.3389 
   00037    0.4400  -32001.5757  0.3411 
   00038    0.4257  -32078.3739  0.3451 
   00039    0.4281  -32190.7082  0.3470 
   00040    0.4264  -32121.4005  0.3519 
   00041    0.4309  -32208.1856  0.3546 
   00042    0.4260  -32317.3931  0.3578 
   00043    0.4363  -32216.0950  0.3609 
   00044    0.4208  -32226.3551  0.3622 
   00045    0.4247  -32346.9901  0.3625 
   00046    0.4328  -32372.2925  0.3609 
   00047    0.4383  -32481.2239  0.3600 
   00048    0.4248  -32493.0117  0.3599 
   00049    0.4276  -32483.6608  0.3623 
   00050    0.4267  -32580.6813  0.3644 
   00051    0.4281  -32522.7829  0.3671 
   00052    0.4308  -32569.5917  0.3700 
   00053    0.4216  -32545.9736  0.3686 
   00054    0.4295  -32655.0546  0.3696 
   00055    0.4281  -32692.9031  0.3668 
   00056    0.4154  -32682.0908  0.3681 
   00057    0.4251  -32755.9801  0.3700 
   00058    0.4221  -32813.9291  0.3730 
   00059    0.4179  -32829.1702  0.3748 
   00060    0.4191  -32873.3642  0.3755 
   00061    0.4209  -32976.5425  0.3724 
   00062    0.4283  -32902.3589  0.3765 
   00063    0.4283  -32812.3050  0.3757 
   00064    0.4187  -32832.5178  0.3762 
   00065    0.4223  -32856.0711  0.3771 
   00066    0.4276  -32824.7824  0.3763 
   00067    0.4176  -32817.4283  0.3751 
   00068    0.4267  -32819.7311  0.3758 
   00069    0.4266  -32756.6438  0.3776 
   00070    0.4282  -32827.6760  0.3781 
   00071    0.4179  -32841.7814  0.3787 
   00072    0.4191  -32974.0260  0.3780 
   00073    0.4294  -32926.5569  0.3788 
   00074    0.4224  -32975.8053  0.3770 
   00075    0.4326  -32935.6920  0.3751 
   00076    0.4234  -32866.5827  0.3787 
   00077    0.4228  -32942.4941  0.3793 
   00078    0.4219  -32965.9425  0.3824 
   00079    0.4190  -32945.2726  0.3818 
   00080    0.4230  -33048.4452  0.3818 
   00081    0.4208  -33032.4727  0.3816 
   00082    0.4282  -33112.4894  0.3828 
   00083    0.4179  -33069.4992  0.3857 
   00084    0.4173  -33102.6520  0.3840 
   00085    0.4132  -33059.0263  0.3849 
   00086    0.4200  -33017.4513  0.3861 
   00087    0.4182  -33012.7705  0.3842 
   00088    0.4270  -33053.3779  0.3831 
   00089    0.4214  -33111.3836  0.3852 
   00090    0.4162  -33063.4354  0.3873 
   00091    0.4139  -33031.3259  0.3858 
   00092    0.4303  -33125.4976  0.3863 
   00093    0.4233  -33255.9628  0.3840 
   00094    0.4172  -33238.7391  0.3823 
   00095    0.4244  -33276.9333  0.3809 
   00096    0.4129  -33260.7342  0.3839 
   00097    0.4216  -33207.3309  0.3848 
   00098    0.4199  -33209.9101  0.3842 
   00099    0.4285  -33230.6041  0.3831 
   00100    0.4161  -33236.6382  0.3858 
