iterations,size,temperature,order,time
1,1,0.5,1.000,0.000143
1,1,0.5,1.000,0.000083
1,2,0.5,0.452,0.000104
1,3,0.5,0.638,0.000130
1,4,0.5,0.475,0.000157
1,5,0.5,0.378,0.000201
1,7,0.5,0.294,0.000300
1,10,0.5,0.340,0.000751
1,14,0.5,0.308,0.000980
1,19,0.5,0.289,0.003138
1,27,0.5,0.287,0.003207
1,37,0.5,0.283,0.006067
1,52,0.5,0.260,0.011333
1,72,0.5,0.265,0.021910
1,100,0.5,0.256,0.039909
2,1,0.5,1.000,0.000128
2,1,0.5,1.000,0.000131
2,2,0.5,0.837,0.000165
2,3,0.5,0.455,0.000213
2,4,0.5,0.606,0.000274
2,5,0.5,0.406,0.000349
2,7,0.5,0.394,0.000560
2,10,0.5,0.359,0.001023
2,14,0.5,0.262,0.001813
2,19,0.5,0.324,0.003243
2,27,0.5,0.291,0.006376
2,37,0.5,0.285,0.012049
2,52,0.5,0.271,0.022944
2,72,0.5,0.271,0.043384
2,100,0.5,0.257,0.088635
2,1,0.5,1.000,0.000128
2,1,0.5,1.000,0.000130
2,2,0.5,0.485,0.000375
2,3,0.5,0.546,0.000213
2,4,0.5,0.353,0.000284
2,5,0.5,0.536,0.000358
2,7,0.5,0.356,0.000562
2,10,0.5,0.397,0.001011
2,14,0.5,0.365,0.001810
2,19,0.5,0.326,0.003250
2,27,0.5,0.273,0.006324
2,37,0.5,0.286,0.011732
2,52,0.5,0.258,0.022986
2,72,0.5,0.268,0.043860
2,100,0.5,0.259,0.080808
4,1,0.5,1.000,0.000214
4,1,0.5,1.000,0.000213
4,2,0.5,0.315,0.000278
4,3,0.5,0.612,0.000375
4,4,0.5,0.717,0.000498
4,5,0.5,0.559,0.000661
4,7,0.5,0.428,0.001081
4,10,0.5,0.411,0.001972
4,14,0.5,0.403,0.003636
4,19,0.5,0.282,0.006484
4,27,0.5,0.298,0.012770
4,37,0.5,0.271,0.023855
4,52,0.5,0.263,0.046326
4,72,0.5,0.285,0.085494
4,100,0.5,0.282,0.160581
6,1,0.5,1.000,0.000287
6,1,0.5,1.000,0.000642
6,2,0.5,0.832,0.000393
6,3,0.5,0.946,0.000530
6,4,0.5,0.907,0.000716
6,5,0.5,0.365,0.000961
6,7,0.5,0.408,0.001605
6,10,0.5,0.459,0.006588
6,14,0.5,0.289,0.011180
6,19,0.5,0.353,0.009815
6,27,0.5,0.281,0.019240
6,37,0.5,0.332,0.035828
6,52,0.5,0.263,0.068684
6,72,0.5,0.268,0.127872
6,100,0.5,0.266,0.243412
9,1,0.5,1.000,0.000401
9,1,0.5,1.000,0.000400
9,2,0.5,0.998,0.000553
9,3,0.5,0.933,0.000760
9,4,0.5,0.740,0.001045
9,5,0.5,0.847,0.001417
9,7,0.5,0.686,0.002365
9,10,0.5,0.542,0.004374
9,14,0.5,0.391,0.008150
9,19,0.5,0.380,0.014592
9,27,0.5,0.310,0.028938
9,37,0.5,0.268,0.052905
9,52,0.5,0.260,0.101527
9,72,0.5,0.277,0.193052
9,100,0.5,0.278,0.366700
14,1,0.5,1.000,0.000560
14,1,0.5,1.000,0.000562
14,2,0.5,0.931,0.000800
14,3,0.5,0.895,0.001111
14,4,0.5,0.934,0.001561
14,5,0.5,0.759,0.002135
14,7,0.5,0.618,0.003629
14,10,0.5,0.598,0.006821
14,14,0.5,0.597,0.012682
14,19,0.5,0.357,0.022811
14,27,0.5,0.286,0.045076
14,37,0.5,0.265,0.081999
14,52,0.5,0.295,0.158585
14,72,0.5,0.303,0.301264
14,100,0.5,0.271,0.843720
22,1,0.5,1.000,0.001216
22,1,0.5,1.000,0.000830
22,2,0.5,0.996,0.001173
22,3,0.5,0.815,0.001704
22,4,0.5,0.865,0.002401
22,5,0.5,0.896,0.003301
22,7,0.5,0.791,0.005702
22,10,0.5,0.523,0.010737
22,14,0.5,0.647,0.020046
22,19,0.5,0.383,0.035968
22,27,0.5,0.329,0.068523
22,37,0.5,0.265,0.128274
22,52,0.5,0.328,0.247916
22,72,0.5,0.257,0.475275
22,100,0.5,0.262,0.922388
35,1,0.5,1.000,0.001195
35,1,0.5,1.000,0.001246
35,2,0.5,0.975,0.001851
35,3,0.5,0.934,0.002656
35,4,0.5,0.968,0.003792
35,5,0.5,0.920,0.005038
35,7,0.5,0.905,0.008631
35,10,0.5,0.373,0.016972
35,14,0.5,0.620,0.031711
35,19,0.5,0.471,0.056236
35,27,0.5,0.444,0.109984
35,37,0.5,0.295,0.201796
35,52,0.5,0.347,0.395410
35,72,0.5,0.303,0.781257
35,100,0.5,0.338,1.654120
54,1,0.5,1.000,0.001818
54,1,0.5,1.000,0.001842
54,2,0.5,0.987,0.002712
54,3,0.5,0.944,0.003991
54,4,0.5,0.934,0.005744
54,5,0.5,0.922,0.007945
54,7,0.5,0.882,0.013730
54,10,0.5,0.498,0.028568
54,14,0.5,0.522,0.048477
54,19,0.5,0.449,0.086803
54,27,0.5,0.411,0.167826
54,37,0.5,0.424,0.312266
54,52,0.5,0.310,0.609136
54,72,0.5,0.285,1.172212
54,100,0.5,0.319,2.260097
85,1,0.5,1.000,0.002837
85,1,0.5,1.000,0.002779
85,2,0.5,0.948,0.004283
85,3,0.5,0.965,0.006220
85,4,0.5,0.881,0.008889
85,5,0.5,0.900,0.012402
85,7,0.5,0.879,0.022377
85,10,0.5,0.882,0.041084
85,14,0.5,0.426,0.075572
85,19,0.5,0.420,0.198076
85,27,0.5,0.499,0.337382
85,37,0.5,0.445,0.487968
85,52,0.5,0.326,0.961564
85,72,0.5,0.276,1.842371
85,100,0.5,0.340,3.527779
132,1,0.5,1.000,0.004219
132,1,0.5,1.000,0.004282
132,2,0.5,0.960,0.006424
132,3,0.5,0.940,0.009571
132,4,0.5,0.901,0.013788
132,5,0.5,0.945,0.019268
132,7,0.5,0.922,0.033572
132,10,0.5,0.888,0.063083
132,14,0.5,0.875,0.115804
132,19,0.5,0.819,0.206936
132,27,0.5,0.733,0.418312
132,37,0.5,0.328,0.868082
132,52,0.5,0.379,1.592120
132,72,0.5,0.341,2.954118
132,100,0.5,0.345,5.642507
206,1,0.5,1.000,0.006584
206,1,0.5,1.000,0.006644
206,2,0.5,0.915,0.009842
