#=====================================================
# File created:        Wed-29-Oct-2025-at-10-39-07PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        3.429646
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2491.4719  0.2574 
   00001    0.6676   -3582.3514  0.2709 
   00002    0.6256   -4430.4118  0.2946 
   00003    0.5808   -5063.6115  0.3009 
   00004    0.5524   -5490.2004  0.3031 
   00005    0.5524   -5827.0025  0.3003 
   00006    0.5308   -6050.8397  0.3007 
   00007    0.5192   -6293.0399  0.3159 
   00008    0.5004   -6428.2335  0.3070 
   00009    0.4868   -6632.8787  0.3123 
   00010    0.4708   -6778.6137  0.3049 
   00011    0.4852   -6873.0052  0.3026 
   00012    0.4780   -6978.8110  0.3033 
   00013    0.4720   -7090.1637  0.3002 
   00014    0.4628   -7166.0875  0.2977 
   00015    0.4560   -7171.6138  0.2969 
   00016    0.4644   -7266.0816  0.2942 
   00017    0.4612   -7357.4706  0.2999 
   00018    0.4608   -7399.9420  0.3017 
   00019    0.4468   -7521.0106  0.3070 
   00020    0.4528   -7545.0855  0.3047 
   00021    0.4456   -7577.7923  0.3107 
   00022    0.4520   -7607.7751  0.3101 
   00023    0.4512   -7627.4621  0.3097 
   00024    0.4556   -7670.3293  0.3113 
   00025    0.4400   -7701.9544  0.3152 
   00026    0.4336   -7732.7931  0.3172 
   00027    0.4416   -7752.0870  0.3258 
   00028    0.4632   -7740.2954  0.3261 
   00029    0.4420   -7787.3014  0.3264 
   00030    0.4448   -7872.6695  0.3313 
   00031    0.4444   -7895.0727  0.3357 
   00032    0.4380   -7871.4128  0.3334 
   00033    0.4312   -7924.6131  0.3396 
   00034    0.4276   -7944.2843  0.3469 
   00035    0.4492   -7957.9066  0.3487 
   00036    0.4340   -7980.1151  0.3463 
   00037    0.4264   -7963.1493  0.3451 
   00038    0.4272   -7947.7591  0.3501 
   00039    0.4172   -7964.7753  0.3488 
   00040    0.4212   -8006.0311  0.3468 
   00041    0.4224   -8045.3612  0.3511 
   00042    0.4436   -8023.4606  0.3438 
   00043    0.4164   -8091.5811  0.3486 
   00044    0.4312   -8095.9702  0.3463 
   00045    0.4340   -8081.3678  0.3485 
   00046    0.4284   -8048.3501  0.3496 
   00047    0.4048   -8098.3823  0.3536 
   00048    0.4396   -8114.9745  0.3527 
   00049    0.4256   -8108.9112  0.3572 
   00050    0.4316   -8130.0719  0.3512 
   00051    0.4260   -8141.3667  0.3588 
   00052    0.4168   -8184.5601  0.3582 
   00053    0.4228   -8147.7683  0.3597 
   00054    0.4200   -8134.5761  0.3552 
   00055    0.4372   -8172.8423  0.3591 
   00056    0.4156   -8178.3095  0.3593 
   00057    0.4160   -8184.7921  0.3540 
   00058    0.4164   -8209.0544  0.3428 
   00059    0.4228   -8181.7461  0.3421 
   00060    0.4388   -8204.1518  0.3501 
   00061    0.4268   -8154.4367  0.3503 
   00062    0.4220   -8183.8490  0.3588 
   00063    0.4108   -8169.8914  0.3593 
   00064    0.4352   -8164.7861  0.3611 
   00065    0.4136   -8190.2199  0.3614 
   00066    0.4348   -8175.9059  0.3662 
   00067    0.4296   -8199.1717  0.3662 
   00068    0.4320   -8210.6867  0.3684 
   00069    0.4328   -8205.3654  0.3621 
   00070    0.4188   -8249.4983  0.3587 
   00071    0.4248   -8283.2805  0.3565 
   00072    0.4036   -8223.9838  0.3577 
   00073    0.4284   -8214.2446  0.3660 
   00074    0.4152   -8258.5873  0.3720 
   00075    0.4256   -8242.0260  0.3670 
   00076    0.4252   -8245.3828  0.3588 
   00077    0.4088   -8232.1862  0.3662 
   00078    0.4188   -8203.4352  0.3654 
   00079    0.4588   -8154.2500  0.3641 
   00080    0.4408   -8140.0120  0.3647 
   00081    0.4264   -8166.7884  0.3675 
   00082    0.4068   -8225.1001  0.3683 
   00083    0.4296   -8213.4140  0.3687 
   00084    0.4180   -8236.7074  0.3729 
   00085    0.4360   -8272.5356  0.3781 
   00086    0.3960   -8310.8476  0.3719 
   00087    0.4212   -8316.6060  0.3735 
   00088    0.4216   -8330.5740  0.3736 
   00089    0.4300   -8291.7522  0.3723 
   00090    0.4188   -8302.3874  0.3744 
   00091    0.4240   -8309.4354  0.3763 
   00092    0.4204   -8329.0435  0.3685 
   00093    0.4000   -8351.6403  0.3770 
   00094    0.4032   -8305.8005  0.3777 
   00095    0.4348   -8296.4239  0.3829 
   00096    0.4240   -8295.2385  0.3855 
   00097    0.4128   -8291.0802  0.3865 
   00098    0.4208   -8319.3388  0.3867 
   00099    0.4340   -8258.3695  0.3853 
   00100    0.4132   -8301.7738  0.3807 
   00101    0.4404   -8253.8928  0.3837 
   00102    0.4220   -8239.4406  0.3888 
   00103    0.4276   -8235.7521  0.3904 
   00104    0.4344   -8231.3922  0.3894 
   00105    0.4276   -8276.3645  0.3805 
   00106    0.4284   -8276.6977  0.3797 
   00107    0.4372   -8264.4539  0.3797 
   00108    0.4216   -8317.2261  0.3780 
   00109    0.4184   -8321.6622  0.3827 
   00110    0.4144   -8336.9906  0.3845 
   00111    0.4444   -8332.6305  0.3798 
   00112    0.4132   -8312.0819  0.3800 
   00113    0.4396   -8355.3469  0.3724 
   00114    0.4228   -8335.7813  0.3777 
   00115    0.4212   -8343.7715  0.3747 
   00116    0.4244   -8349.1883  0.3711 
   00117    0.4000   -8345.6861  0.3682 
   00118    0.4164   -8327.4303  0.3679 
   00119    0.4216   -8329.0768  0.3597 
   00120    0.4224   -8277.5980  0.3627 
   00121    0.4060   -8263.6685  0.3704 
   00122    0.4308   -8262.6512  0.3663 
   00123    0.4112   -8311.5299  0.3752 
   00124    0.4404   -8290.4890  0.3787 
   00125    0.4240   -8339.1633  0.3810 
   00126    0.4176   -8320.8006  0.3855 
   00127    0.4120   -8332.9651  0.3846 
   00128    0.4132   -8366.3612  0.3846 
   00129    0.4084   -8375.5003  0.3781 
   00130    0.4116   -8386.1359  0.3782 
   00131    0.4144   -8385.5579  0.3858 
   00132    0.4056   -8368.5883  0.3847 
   00133    0.4240   -8372.0575  0.3869 
   00134    0.4260   -8358.6079  0.3849 
   00135    0.4132   -8347.8048  0.3836 
   00136    0.4204   -8344.1195  0.3901 
   00137    0.4272   -8352.3758  0.3927 
   00138    0.4120   -8373.5422  0.3914 
   00139    0.4320   -8398.7710  0.3853 
   00140    0.4116   -8402.4264  0.3832 
   00141    0.4328   -8412.5700  0.3737 
   00142    0.4140   -8402.6699  0.3800 
   00143    0.4292   -8413.4975  0.3805 
   00144    0.4232   -8343.1084  0.3749 
   00145    0.4308   -8373.3601  0.3795 
   00146    0.4024   -8372.6928  0.3828 
   00147    0.4208   -8318.9505  0.3840 
   00148    0.4096   -8400.6124  0.3862 
   00149    0.4156   -8387.5747  0.3856 
   00150    0.4240   -8362.0238  0.3839 
   00151    0.4100   -8362.6446  0.3861 
   00152    0.4156   -8368.0352  0.3897 
   00153    0.4192   -8344.8266  0.3876 
   00154    0.4248   -8294.2250  0.3862 
   00155    0.4172   -8307.4656  0.3901 
   00156    0.4280   -8340.2017  0.3964 
   00157    0.4136   -8325.6249  0.3957 
   00158    0.4068   -8345.5371  0.3983 
   00159    0.4136   -8388.8171  0.3998 
   00160    0.3920   -8356.9435  0.3947 
   00161    0.4220   -8383.8171  0.3913 
   00162    0.4048   -8366.2200  0.3875 
   00163    0.4116   -8362.4494  0.3925 
   00164    0.4264   -8387.4697  0.3914 
   00165    0.4324   -8390.8948  0.3914 
   00166    0.4124   -8371.1863  0.3883 
   00167    0.4224   -8343.1349  0.3872 
   00168    0.4276   -8345.3730  0.3943 
   00169    0.4032   -8323.0105  0.3938 
   00170    0.4304   -8339.8215  0.3964 
   00171    0.4052   -8346.6728  0.3975 
   00172    0.4084   -8365.4763  0.4015 
   00173    0.4108   -8367.1711  0.4031 
   00174    0.4216   -8386.6120  0.4053 
   00175    0.4152   -8403.0399  0.4072 
   00176    0.3940   -8383.8390  0.4009 
   00177    0.4192   -8393.4315  0.3954 
   00178    0.4080   -8402.2973  0.3974 
   00179    0.4148   -8396.4688  0.3970 
   00180    0.4136   -8397.2839  0.4053 
   00181    0.4276   -8391.8584  0.4041 
   00182    0.4288   -8351.4517  0.4053 
   00183    0.3972   -8376.7067  0.4064 
   00184    0.4236   -8378.2320  0.4027 
   00185    0.4284   -8391.3098  0.3951 
   00186    0.4296   -8385.3761  0.3951 
   00187    0.4316   -8401.5074  0.4015 
   00188    0.4328   -8383.6991  0.4055 
   00189    0.4268   -8378.8049  0.4126 
   00190    0.4056   -8390.4795  0.4141 
   00191    0.4188   -8377.7337  0.4091 
   00192    0.3848   -8413.1069  0.4097 
   00193    0.4068   -8387.5847  0.4119 
   00194    0.4288   -8388.7554  0.4124 
   00195    0.4064   -8315.3917  0.4110 
   00196    0.4240   -8314.2434  0.4165 
   00197    0.4136   -8371.7920  0.4207 
   00198    0.4120   -8435.8109  0.4233 
   00199    0.4228   -8460.1362  0.4201 
   00200    0.4196   -8490.1400  0.4206 
   00201    0.4328   -8489.4499  0.4190 
   00202    0.4220   -8461.1835  0.4228 
   00203    0.4136   -8457.0809  0.4157 
   00204    0.3900   -8442.2581  0.4165 
   00205    0.4128   -8433.2309  0.4135 
   00206    0.4196   -8405.0960  0.4123 
   00207    0.4216   -8372.1656  0.4132 
   00208    0.4148   -8401.2237  0.4102 
   00209    0.4216   -8402.2672  0.4123 
   00210    0.4152   -8400.3818  0.4193 
   00211    0.4080   -8387.6621  0.4163 
   00212    0.4044   -8347.4862  0.4191 
   00213    0.4344   -8333.3416  0.4250 
   00214    0.4236   -8367.7710  0.4280 
   00215    0.4144   -8398.4522  0.4348 
   00216    0.4252   -8378.7213  0.4356 
   00217    0.4060   -8395.9431  0.4402 
   00218    0.4268   -8417.1489  0.4428 
   00219    0.4032   -8436.6110  0.4404 
   00220    0.4116   -8426.2329  0.4469 
   00221    0.4232   -8417.1138  0.4499 
   00222    0.4176   -8398.5683  0.4556 
   00223    0.4148   -8413.0882  0.4596 
   00224    0.3984   -8411.1007  0.4572 
   00225    0.4060   -8401.4967  0.4536 
   00226    0.3964   -8411.0941  0.4559 
   00227    0.4096   -8465.9413  0.4572 
   00228    0.4248   -8458.6379  0.4529 
   00229    0.4248   -8447.9089  0.4549 
   00230    0.4168   -8441.6899  0.4538 
