#=====================================================
# File created:        Thu-30-Oct-2025-at-12-37-26AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        33.115931
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2479.1392  0.2585 
   00001    0.6596   -3827.4225  0.2643 
   00002    0.6140   -4630.5157  0.2504 
   00003    0.5712   -5151.2703  0.2580 
   00004    0.5392   -5499.7423  0.2609 
   00005    0.5308   -5815.4077  0.2653 
   00006    0.5116   -6120.8400  0.2657 
   00007    0.5016   -6391.1763  0.2684 
   00008    0.4920   -6618.8877  0.2702 
   00009    0.4880   -6728.1977  0.2798 
   00010    0.4732   -6875.1463  0.2828 
   00011    0.4660   -7030.9450  0.2800 
   00012    0.4580   -7143.2993  0.2778 
   00013    0.4616   -7210.7971  0.2899 
   00014    0.4544   -7244.2427  0.2947 
   00015    0.4656   -7343.3708  0.2953 
   00016    0.4664   -7443.5439  0.2979 
   00017    0.4456   -7510.1624  0.2999 
   00018    0.4484   -7524.8458  0.3021 
   00019    0.4588   -7596.6065  0.3104 
   00020    0.4532   -7669.9429  0.3143 
   00021    0.4404   -7634.4397  0.3101 
   00022    0.4348   -7690.2996  0.3134 
   00023    0.4184   -7692.8826  0.3095 
   00024    0.4304   -7733.5842  0.3139 
   00025    0.4424   -7740.4483  0.3158 
   00026    0.4656   -7758.4379  0.3214 
   00027    0.4344   -7804.5786  0.3242 
   00028    0.4424   -7848.8070  0.3238 
   00029    0.4312   -7832.6104  0.3252 
   00030    0.4424   -7809.0002  0.3294 
   00031    0.4356   -7877.0839  0.3254 
   00032    0.4216   -7908.5256  0.3267 
   00033    0.4356   -7879.6970  0.3368 
   00034    0.4416   -7946.9205  0.3385 
   00035    0.4508   -7953.1094  0.3412 
   00036    0.4504   -7962.4137  0.3440 
   00037    0.4352   -7990.6900  0.3479 
   00038    0.4288   -8003.1769  0.3488 
   00039    0.4400   -8015.5316  0.3601 
   00040    0.4408   -8095.0278  0.3584 
   00041    0.4356   -8125.6108  0.3562 
   00042    0.4256   -8115.7431  0.3630 
   00043    0.4100   -8128.5749  0.3661 
   00044    0.4164   -8126.8832  0.3678 
   00045    0.4460   -8153.8988  0.3640 
   00046    0.4276   -8146.2125  0.3649 
   00047    0.4364   -8139.3604  0.3616 
   00048    0.4456   -8137.3346  0.3606 
   00049    0.4144   -8146.9936  0.3622 
   00050    0.4208   -8194.6805  0.3694 
   00051    0.4188   -8164.1870  0.3726 
   00052    0.4228   -8177.5107  0.3731 
   00053    0.4132   -8176.5250  0.3734 
   00054    0.4064   -8194.6775  0.3657 
   00055    0.4244   -8208.0424  0.3625 
   00056    0.4196   -8175.9134  0.3606 
   00057    0.4336   -8190.5242  0.3636 
   00058    0.4208   -8222.0955  0.3604 
   00059    0.4088   -8166.0385  0.3642 
   00060    0.4224   -8230.2448  0.3676 
   00061    0.4204   -8236.8318  0.3731 
   00062    0.4160   -8227.1662  0.3770 
   00063    0.4180   -8229.8006  0.3834 
   00064    0.4188   -8194.8858  0.3858 
   00065    0.4296   -8189.8114  0.3900 
   00066    0.4060   -8184.6134  0.3919 
   00067    0.4152   -8191.6369  0.3924 
   00068    0.4264   -8215.8099  0.3936 
   00069    0.4200   -8243.2430  0.3931 
   00070    0.4244   -8268.5555  0.3921 
   00071    0.4184   -8261.7460  0.3941 
   00072    0.4120   -8261.8936  0.3993 
   00073    0.4152   -8244.2653  0.3913 
   00074    0.4216   -8224.5012  0.3855 
   00075    0.4044   -8255.0720  0.3887 
   00076    0.4112   -8257.8611  0.3907 
   00077    0.4116   -8291.1554  0.3898 
   00078    0.4236   -8282.2816  0.3926 
   00079    0.4176   -8255.5284  0.3936 
   00080    0.4248   -8277.5315  0.3957 
   00081    0.4112   -8275.1800  0.3952 
   00082    0.4264   -8329.4795  0.3849 
   00083    0.4052   -8322.9409  0.3882 
   00084    0.4120   -8310.0754  0.3847 
   00085    0.4140   -8295.5396  0.3794 
   00086    0.4032   -8316.2521  0.3849 
   00087    0.4212   -8350.4287  0.3868 
   00088    0.4036   -8338.5864  0.3909 
   00089    0.4260   -8358.6992  0.3971 
   00090    0.4144   -8363.8957  0.3949 
   00091    0.4280   -8350.3887  0.4025 
   00092    0.4048   -8305.0014  0.4031 
   00093    0.4172   -8345.5627  0.4074 
   00094    0.4204   -8369.7955  0.4037 
   00095    0.3908   -8371.5495  0.4020 
   00096    0.4264   -8375.1151  0.4058 
   00097    0.4036   -8393.7391  0.4077 
   00098    0.4212   -8387.5641  0.4080 
   00099    0.3964   -8340.3004  0.4143 
   00100    0.4100   -8343.8382  0.4231 
   00101    0.3996   -8355.4884  0.4238 
   00102    0.4060   -8310.7930  0.4253 
   00103    0.4308   -8345.8569  0.4300 
   00104    0.4028   -8353.2711  0.4297 
   00105    0.4168   -8363.2990  0.4281 
   00106    0.4108   -8392.5022  0.4325 
   00107    0.4144   -8402.2415  0.4312 
   00108    0.4216   -8365.2681  0.4295 
   00109    0.4096   -8391.7185  0.4368 
   00110    0.4160   -8371.7884  0.4336 
   00111    0.4160   -8352.3374  0.4318 
   00112    0.4220   -8377.5807  0.4331 
   00113    0.4176   -8389.8885  0.4289 
   00114    0.4052   -8413.9595  0.4284 
   00115    0.4228   -8445.8432  0.4258 
   00116    0.4292   -8390.8606  0.4220 
   00117    0.4144   -8372.5934  0.4231 
   00118    0.4312   -8376.8906  0.4232 
   00119    0.4168   -8379.0401  0.4240 
   00120    0.4220   -8351.8612  0.4206 
   00121    0.4040   -8375.6347  0.4218 
   00122    0.4056   -8370.4863  0.4252 
   00123    0.4128   -8372.3492  0.4137 
   00124    0.4116   -8389.1999  0.4226 
   00125    0.4100   -8348.7906  0.4271 
   00126    0.4020   -8336.6733  0.4264 
   00127    0.4048   -8335.2083  0.4241 
   00128    0.4124   -8342.6487  0.4221 
   00129    0.3996   -8333.0190  0.4249 
   00130    0.3988   -8348.7660  0.4187 
   00131    0.4224   -8360.5567  0.4198 
   00132    0.4264   -8364.2571  0.4251 
   00133    0.4316   -8416.4864  0.4183 
   00134    0.4320   -8448.0571  0.4196 
   00135    0.4248   -8448.0546  0.4141 
   00136    0.4252   -8431.3302  0.4135 
   00137    0.4164   -8457.4582  0.4109 
   00138    0.4020   -8438.9022  0.4111 
   00139    0.4024   -8468.3367  0.4119 
   00140    0.4140   -8454.1602  0.4126 
   00141    0.4132   -8434.3538  0.4160 
   00142    0.4148   -8465.8576  0.4133 
   00143    0.4132   -8427.2094  0.4144 
   00144    0.4068   -8442.5879  0.4074 
   00145    0.4236   -8442.4006  0.4015 
   00146    0.4184   -8463.3641  0.4032 
   00147    0.3932   -8438.8346  0.4023 
   00148    0.4212   -8410.5437  0.4034 
   00149    0.4144   -8410.3218  0.4032 
   00150    0.4100   -8390.0734  0.4032 
   00151    0.4108   -8450.0811  0.4077 
   00152    0.4076   -8450.8184  0.4171 
   00153    0.4136   -8410.1544  0.4229 
   00154    0.3964   -8421.8281  0.4277 
   00155    0.4152   -8439.2439  0.4294 
   00156    0.4104   -8437.6910  0.4317 
   00157    0.4072   -8424.9316  0.4328 
   00158    0.4012   -8421.2360  0.4336 
   00159    0.4204   -8404.9362  0.4359 
   00160    0.4156   -8378.6472  0.4473 
   00161    0.4208   -8416.5194  0.4469 
   00162    0.4180   -8404.8537  0.4442 
   00163    0.4220   -8428.0309  0.4496 
   00164    0.4276   -8419.5842  0.4456 
   00165    0.4084   -8484.9888  0.4455 
   00166    0.4040   -8434.9872  0.4473 
   00167    0.4404   -8445.2347  0.4538 
   00168    0.4220   -8443.9327  0.4586 
   00169    0.3996   -8458.7120  0.4558 
   00170    0.4180   -8468.6017  0.4577 
   00171    0.4144   -8434.9287  0.4499 
   00172    0.4040   -8423.7659  0.4489 
   00173    0.4100   -8455.8049  0.4500 
   00174    0.4040   -8485.2549  0.4452 
   00175    0.4224   -8495.5724  0.4494 
   00176    0.4048   -8459.6497  0.4500 
   00177    0.4108   -8482.6257  0.4553 
   00178    0.4048   -8458.4500  0.4568 
   00179    0.4160   -8459.9690  0.4587 
   00180    0.4088   -8465.0884  0.4570 
   00181    0.4180   -8451.7236  0.4585 
   00182    0.4204   -8434.8384  0.4569 
   00183    0.4092   -8404.3481  0.4562 
   00184    0.4248   -8435.8686  0.4499 
   00185    0.4184   -8439.8645  0.4538 
   00186    0.4124   -8422.8100  0.4552 
   00187    0.4288   -8437.7664  0.4554 
   00188    0.4052   -8452.1958  0.4550 
   00189    0.4024   -8467.0598  0.4560 
   00190    0.4096   -8470.4105  0.4610 
   00191    0.4220   -8457.4771  0.4584 
   00192    0.4168   -8465.1986  0.4619 
   00193    0.4096   -8467.0694  0.4595 
   00194    0.4120   -8472.3833  0.4574 
   00195    0.4024   -8459.6483  0.4588 
   00196    0.3960   -8454.3547  0.4578 
   00197    0.4064   -8473.1548  0.4544 
   00198    0.4020   -8434.3372  0.4513 
   00199    0.4080   -8392.8553  0.4492 
   00200    0.4080   -8378.8021  0.4482 
   00201    0.4096   -8389.5345  0.4480 
   00202    0.4128   -8360.1878  0.4516 
   00203    0.4080   -8379.4109  0.4509 
   00204    0.4340   -8431.0533  0.4583 
   00205    0.4092   -8439.0655  0.4566 
   00206    0.4220   -8451.5952  0.4556 
   00207    0.4032   -8465.4315  0.4651 
   00208    0.4136   -8475.6650  0.4636 
   00209    0.4076   -8478.1207  0.4633 
   00210    0.4300   -8466.6724  0.4579 
   00211    0.4040   -8404.6070  0.4611 
   00212    0.4016   -8382.1700  0.4630 
   00213    0.4216   -8420.8333  0.4638 
   00214    0.4160   -8419.0578  0.4711 
   00215    0.4028   -8429.5134  0.4741 
   00216    0.4060   -8397.4829  0.4804 
   00217    0.4140   -8423.0731  0.4840 
   00218    0.3972   -8449.1543  0.4916 
   00219    0.4196   -8415.7501  0.4897 
   00220    0.4084   -8410.7520  0.4924 
   00221    0.4208   -8443.2733  0.4866 
   00222    0.4008   -8426.3033  0.4862 
   00223    0.4108   -8385.0316  0.4836 
   00224    0.4188   -8390.9466  0.4905 
   00225    0.4124   -8405.0282  0.4860 
   00226    0.4248   -8447.9284  0.4914 
   00227    0.4172   -8425.4631  0.4858 
   00228    0.4016   -8437.0763  0.4826 
   00229    0.4104   -8442.0367  0.4854 
   00230    0.4200   -8436.8626  0.4870 
   00231    0.4188   -8436.0219  0.4894 
   00232    0.4184   -8408.5116  0.4915 
   00233    0.4252   -8468.6871  0.4937 
   00234    0.4244   -8480.9173  0.4953 
   00235    0.4028   -8461.1990  0.4973 
   00236    0.4136   -8462.8146  0.4958 
   00237    0.4292   -8445.3512  0.4927 
   00238    0.4060   -8461.1306  0.4882 
   00239    0.4116   -8447.5607  0.4923 
   00240    0.4180   -8458.5282  0.4951 
   00241    0.4084   -8437.2495  0.4941 
   00242    0.4184   -8474.7345  0.4985 
   00243    0.4272   -8456.6499  0.4981 
   00244    0.4012   -8453.3950  0.4925 
   00245    0.4280   -8485.1999  0.4925 
   00246    0.4092   -8466.9201  0.4926 
   00247    0.4196   -8473.1750  0.4913 
   00248    0.4096   -8485.7251  0.4893 
   00249    0.4084   -8530.9374  0.4931 
   00250    0.4140   -8551.4205  0.4993 
   00251    0.3868   -8524.7044  0.5025 
   00252    0.4052   -8534.1414  0.5062 
   00253    0.4064   -8525.1852  0.5158 
   00254    0.3928   -8500.0384  0.5129 
   00255    0.4016   -8469.3685  0.5114 
   00256    0.4104   -8477.3768  0.5128 
   00257    0.4112   -8532.3363  0.5207 
   00258    0.3960   -8514.2222  0.5238 
   00259    0.4088   -8469.2252  0.5285 
   00260    0.4212   -8474.7937  0.5311 
   00261    0.4160   -8478.6094  0.5291 
   00262    0.4272   -8496.1176  0.5302 
   00263    0.3968   -8502.8182  0.5326 
   00264    0.3956   -8522.2932  0.5319 
   00265    0.4068   -8525.4920  0.5356 
   00266    0.4044   -8515.6514  0.5338 
   00267    0.4044   -8473.4430  0.5292 
   00268    0.4016   -8506.7333  0.5253 
   00269    0.4156   -8494.0675  0.5303 
   00270    0.4260   -8500.2659  0.5334 
   00271    0.4092   -8504.9280  0.5335 
   00272    0.4072   -8483.3924  0.5297 
   00273    0.3896   -8459.9411  0.5362 
   00274    0.4084   -8444.2205  0.5376 
   00275    0.4196   -8465.3715  0.5335 
   00276    0.4072   -8465.6370  0.5359 
   00277    0.4040   -8426.2621  0.5360 
   00278    0.4176   -8457.0629  0.5336 
   00279    0.3912   -8479.3289  0.5312 
   00280    0.4136   -8502.5424  0.5333 
   00281    0.4080   -8481.1149  0.5403 
   00282    0.4212   -8537.6365  0.5430 
   00283    0.4164   -8513.7263  0.5459 
   00284    0.4144   -8508.0604  0.5468 
   00285    0.3832   -8493.2961  0.5444 
   00286    0.4036   -8482.9193  0.5433 
   00287    0.4104   -8513.4242  0.5402 
   00288    0.3960   -8493.2401  0.5367 
   00289    0.4088   -8523.7545  0.5451 
   00290    0.4004   -8529.8873  0.5512 
   00291    0.4160   -8558.5606  0.5487 
   00292    0.4152   -8503.3073  0.5474 
   00293    0.4180   -8476.4149  0.5474 
   00294    0.4112   -8484.7054  0.5465 
   00295    0.4088   -8481.3512  0.5508 
   00296    0.4016   -8498.2071  0.5471 
   00297    0.4220   -8561.8259  0.5527 
   00298    0.4228   -8569.3728  0.5543 
   00299    0.4100   -8566.6854  0.5510 
   00300    0.4120   -8559.7066  0.5506 
   00301    0.4040   -8507.3520  0.5442 
   00302    0.4028   -8495.8832  0.5402 
   00303    0.4072   -8449.9028  0.5375 
   00304    0.4144   -8505.8567  0.5455 
   00305    0.4100   -8486.6551  0.5442 
   00306    0.4056   -8495.6583  0.5404 
   00307    0.4148   -8515.9993  0.5443 
   00308    0.4056   -8521.8936  0.5475 
   00309    0.4112   -8534.3795  0.5520 
   00310    0.4016   -8542.3085  0.5494 
   00311    0.4056   -8578.6231  0.5533 
   00312    0.4020   -8546.8731  0.5523 
   00313    0.3856   -8538.4587  0.5491 
   00314    0.4076   -8561.0012  0.5475 
   00315    0.4000   -8554.8905  0.5456 
   00316    0.4248   -8533.8599  0.5437 
   00317    0.3948   -8579.7255  0.5456 
   00318    0.4184   -8544.6106  0.5424 
   00319    0.3948   -8572.0317  0.5427 
   00320    0.4216   -8518.5567  0.5393 
   00321    0.4084   -8525.2502  0.5385 
   00322    0.4112   -8519.4035  0.5400 
   00323    0.4124   -8510.0871  0.5414 
   00324    0.3944   -8510.7720  0.5434 
   00325    0.4152   -8499.8593  0.5457 
   00326    0.4124   -8512.2835  0.5430 
   00327    0.4088   -8542.2034  0.5416 
   00328    0.4212   -8510.5370  0.5416 
   00329    0.4164   -8518.0716  0.5422 
   00330    0.4068   -8572.5889  0.5379 
   00331    0.4212   -8531.3250  0.5355 
   00332    0.4208   -8509.3473  0.5391 
   00333    0.4348   -8527.1114  0.5455 
   00334    0.4124   -8500.7061  0.5394 
   00335    0.3988   -8535.6908  0.5365 
   00336    0.3996   -8515.1810  0.5353 
   00337    0.4008   -8492.0814  0.5299 
   00338    0.4040   -8518.8412  0.5347 
   00339    0.4064   -8524.2498  0.5322 
   00340    0.4012   -8550.0179  0.5403 
   00341    0.4104   -8538.5592  0.5417 
   00342    0.4020   -8509.8990  0.5392 
   00343    0.4092   -8504.6476  0.5394 
   00344    0.4124   -8511.5995  0.5443 
   00345    0.4092   -8506.7783  0.5427 
   00346    0.4168   -8522.5226  0.5417 
   00347    0.4008   -8492.4994  0.5482 
   00348    0.4068   -8481.1789  0.5465 
   00349    0.4212   -8515.9675  0.5482 
   00350    0.4108   -8513.2387  0.5565 
   00351    0.3948   -8434.5403  0.5510 
   00352    0.4300   -8483.8975  0.5566 
   00353    0.4224   -8507.3461  0.5583 
   00354    0.4024   -8557.1832  0.5587 
   00355    0.4076   -8527.3191  0.5614 
   00356    0.4112   -8555.9319  0.5612 
   00357    0.4184   -8521.4475  0.5632 
   00358    0.4076   -8504.3132  0.5640 
   00359    0.4020   -8516.9635  0.5697 
   00360    0.4176   -8498.6817  0.5620 
   00361    0.4112   -8538.6210  0.5654 
   00362    0.4136   -8534.9407  0.5607 
   00363    0.4136   -8542.8116  0.5619 
   00364    0.4040   -8583.7923  0.5626 
   00365    0.4004   -8583.7106  0.5638 
   00366    0.4160   -8561.8783  0.5590 
   00367    0.4120   -8531.3346  0.5597 
   00368    0.4204   -8542.7671  0.5611 
   00369    0.4268   -8546.9705  0.5582 
   00370    0.4120   -8533.6971  0.5604 
   00371    0.4036   -8527.3354  0.5664 
   00372    0.4248   -8517.6125  0.5691 
   00373    0.4220   -8517.8060  0.5632 
   00374    0.4168   -8492.7976  0.5594 
   00375    0.4272   -8507.1126  0.5573 
   00376    0.4180   -8518.8758  0.5632 
   00377    0.4020   -8518.8318  0.5629 
   00378    0.4076   -8535.7921  0.5692 
   00379    0.4044   -8527.1284  0.5672 
   00380    0.4136   -8537.5822  0.5622 
   00381    0.3944   -8540.8993  0.5653 
   00382    0.3968   -8505.8003  0.5625 
   00383    0.4080   -8495.9091  0.5601 
   00384    0.4292   -8522.5187  0.5608 
   00385    0.4256   -8507.6050  0.5578 
   00386    0.4152   -8509.8478  0.5597 
   00387    0.4176   -8508.9053  0.5556 
   00388    0.4072   -8523.9171  0.5588 
   00389    0.3964   -8547.1811  0.5638 
   00390    0.4084   -8555.6407  0.5627 
   00391    0.4076   -8574.0726  0.5691 
   00392    0.4212   -8564.4503  0.5678 
   00393    0.4116   -8550.8855  0.5686 
   00394    0.3980   -8526.5806  0.5638 
   00395    0.4000   -8503.1304  0.5594 
   00396    0.4192   -8508.9477  0.5628 
   00397    0.4088   -8528.8802  0.5626 
   00398    0.4128   -8484.7640  0.5608 
   00399    0.4220   -8517.0633  0.5625 
   00400    0.4056   -8487.3050  0.5668 
   00401    0.4136   -8520.8911  0.5647 
   00402    0.4164   -8524.1144  0.5615 
   00403    0.4288   -8545.3649  0.5644 
   00404    0.4048   -8490.6580  0.5599 
   00405    0.4084   -8532.7994  0.5690 
   00406    0.4020   -8554.1179  0.5691 
   00407    0.4152   -8575.8233  0.5677 
   00408    0.4160   -8531.6416  0.5677 
   00409    0.3936   -8511.5251  0.5642 
   00410    0.4152   -8518.5266  0.5678 
   00411    0.4036   -8527.1339  0.5717 
   00412    0.4016   -8536.4074  0.5720 
   00413    0.3908   -8566.5435  0.5725 
   00414    0.4116   -8568.2551  0.5691 
   00415    0.4172   -8542.1442  0.5694 
   00416    0.4164   -8581.9656  0.5693 
   00417    0.3912   -8574.3738  0.5713 
   00418    0.3912   -8578.6276  0.5704 
   00419    0.4032   -8568.6044  0.5705 
   00420    0.3976   -8597.8437  0.5691 
   00421    0.3932   -8571.0904  0.5721 
   00422    0.3920   -8561.1092  0.5702 
   00423    0.3996   -8552.8317  0.5669 
   00424    0.3964   -8590.2848  0.5647 
   00425    0.3904   -8594.9948  0.5640 
   00426    0.4144   -8571.8296  0.5678 
   00427    0.4160   -8593.1478  0.5754 
   00428    0.4184   -8605.7962  0.5753 
   00429    0.4064   -8626.0682  0.5775 
   00430    0.4104   -8591.5064  0.5785 
   00431    0.3968   -8582.4164  0.5788 
   00432    0.4056   -8529.0300  0.5806 
   00433    0.4028   -8573.5415  0.5838 
   00434    0.3960   -8576.4430  0.5855 
   00435    0.4184   -8558.1722  0.5854 
   00436    0.4116   -8554.4822  0.5876 
   00437    0.4024   -8537.4009  0.5845 
   00438    0.4076   -8487.7512  0.5893 
   00439    0.4280   -8477.2430  0.5943 
   00440    0.4152   -8484.2472  0.5949 
