#=====================================================
# File created:        Wed-29-Oct-2025-at-10-21-49PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        12.663652
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2622  0.2523 
   00001    0.6748   -3804.9810  0.2665 
   00002    0.6264   -4540.3288  0.2662 
   00003    0.5864   -5100.6749  0.2745 
   00004    0.5460   -5627.9903  0.2730 
   00005    0.5316   -5975.9163  0.2858 
   00006    0.5204   -6218.6688  0.2854 
   00007    0.5168   -6464.0168  0.2847 
   00008    0.4916   -6659.5601  0.2785 
   00009    0.4944   -6800.6411  0.2817 
   00010    0.4908   -6931.3382  0.2902 
   00011    0.4856   -7002.5105  0.2904 
   00012    0.4620   -7107.2208  0.2869 
   00013    0.4700   -7183.6828  0.2859 
   00014    0.4656   -7264.9199  0.2902 
   00015    0.4500   -7327.2140  0.2917 
   00016    0.4524   -7422.8336  0.2942 
   00017    0.4648   -7458.2533  0.2919 
   00018    0.4540   -7501.9258  0.2981 
   00019    0.4640   -7572.4843  0.3027 
   00020    0.4528   -7628.0843  0.3104 
   00021    0.4604   -7628.7614  0.3065 
   00022    0.4572   -7666.8329  0.3147 
   00023    0.4452   -7718.9445  0.3148 
   00024    0.4316   -7716.0411  0.3070 
   00025    0.4332   -7812.7644  0.3041 
   00026    0.4332   -7818.5004  0.3062 
   00027    0.4372   -7907.5311  0.3117 
   00028    0.4300   -7876.3358  0.3155 
   00029    0.4400   -7915.0641  0.3252 
   00030    0.4252   -7963.5027  0.3302 
   00031    0.4316   -7988.3284  0.3289 
   00032    0.4348   -7988.2235  0.3371 
   00033    0.4380   -7892.1183  0.3405 
   00034    0.4212   -7932.1848  0.3444 
   00035    0.4360   -7969.8404  0.3384 
   00036    0.4260   -7961.9881  0.3395 
   00037    0.4408   -7997.1315  0.3465 
   00038    0.4380   -8019.2935  0.3482 
   00039    0.4224   -8049.1796  0.3439 
   00040    0.4404   -8063.2577  0.3464 
   00041    0.4484   -8065.0295  0.3514 
   00042    0.4332   -8042.6423  0.3483 
   00043    0.4296   -8053.4366  0.3484 
   00044    0.4108   -8122.8754  0.3468 
   00045    0.4144   -8105.3655  0.3494 
   00046    0.4124   -8111.7848  0.3436 
   00047    0.4260   -8070.6949  0.3467 
   00048    0.4188   -8109.1775  0.3433 
   00049    0.4252   -8105.0328  0.3489 
   00050    0.4380   -8131.2325  0.3390 
   00051    0.4252   -8096.8034  0.3442 
   00052    0.4328   -8132.9944  0.3385 
   00053    0.4124   -8131.7153  0.3393 
   00054    0.4200   -8167.7461  0.3442 
   00055    0.4216   -8166.5371  0.3427 
   00056    0.4224   -8180.4612  0.3475 
   00057    0.4256   -8151.6117  0.3451 
   00058    0.4068   -8172.6674  0.3490 
   00059    0.4220   -8156.5975  0.3412 
   00060    0.4308   -8154.8492  0.3452 
   00061    0.4176   -8142.0560  0.3468 
   00062    0.4352   -8147.5853  0.3430 
   00063    0.4116   -8170.2746  0.3414 
   00064    0.4376   -8164.1585  0.3375 
   00065    0.4412   -8143.4468  0.3380 
   00066    0.4232   -8162.6622  0.3374 
   00067    0.4344   -8204.6544  0.3382 
   00068    0.4096   -8269.1751  0.3361 
   00069    0.4292   -8250.4983  0.3336 
   00070    0.4348   -8193.8705  0.3290 
   00071    0.4180   -8269.1248  0.3315 
   00072    0.4088   -8246.4916  0.3354 
   00073    0.4212   -8307.9744  0.3343 
   00074    0.4368   -8272.8947  0.3297 
   00075    0.4180   -8278.4782  0.3265 
   00076    0.4136   -8243.9596  0.3285 
   00077    0.3972   -8231.3765  0.3314 
   00078    0.4272   -8217.3376  0.3260 
   00079    0.3916   -8270.1657  0.3261 
   00080    0.4220   -8314.9150  0.3258 
   00081    0.4060   -8277.6872  0.3242 
   00082    0.4264   -8280.7884  0.3260 
   00083    0.4144   -8316.7129  0.3240 
   00084    0.4104   -8330.9753  0.3229 
   00085    0.4124   -8357.0280  0.3296 
   00086    0.4324   -8311.4320  0.3317 
   00087    0.4260   -8322.2394  0.3333 
   00088    0.4152   -8349.7150  0.3366 
   00089    0.4108   -8380.3432  0.3444 
   00090    0.4184   -8323.1091  0.3374 
   00091    0.4256   -8303.7056  0.3400 
   00092    0.4216   -8290.8075  0.3403 
   00093    0.4196   -8320.1736  0.3443 
   00094    0.4276   -8320.2754  0.3418 
   00095    0.4356   -8332.1739  0.3425 
   00096    0.3956   -8351.9018  0.3417 
   00097    0.4168   -8364.2570  0.3426 
   00098    0.4216   -8354.1331  0.3383 
   00099    0.4144   -8352.6959  0.3443 
   00100    0.4088   -8350.8907  0.3424 
   00101    0.4264   -8371.5684  0.3475 
   00102    0.4168   -8399.0829  0.3444 
   00103    0.4196   -8369.8346  0.3379 
   00104    0.4372   -8378.8263  0.3334 
   00105    0.4208   -8386.5592  0.3358 
   00106    0.4120   -8342.5277  0.3384 
   00107    0.4024   -8360.8827  0.3395 
   00108    0.4212   -8381.2228  0.3398 
   00109    0.4204   -8348.8228  0.3452 
   00110    0.3964   -8354.1642  0.3474 
   00111    0.4224   -8411.8088  0.3485 
   00112    0.4192   -8422.1366  0.3484 
   00113    0.4212   -8432.4930  0.3434 
   00114    0.4076   -8396.3984  0.3363 
   00115    0.4152   -8416.1945  0.3385 
   00116    0.4204   -8411.5661  0.3376 
   00117    0.4040   -8409.2712  0.3387 
   00118    0.4252   -8397.3959  0.3402 
   00119    0.4216   -8412.4028  0.3443 
   00120    0.4108   -8409.5492  0.3367 
   00121    0.4240   -8363.7810  0.3344 
   00122    0.4024   -8322.6273  0.3319 
   00123    0.3968   -8313.8292  0.3328 
   00124    0.4156   -8317.2660  0.3363 
   00125    0.4196   -8302.6992  0.3354 
   00126    0.4252   -8276.2041  0.3332 
