#=====================================================
# File created:        Sun-02-Nov-2025-at-08-09-15PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        11.682111
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2549.2828  0.2580 
   00001    0.6340   -3723.7528  0.2571 
   00002    0.5312   -4452.0054  0.2586 
   00003    0.5104   -4969.1981  0.2674 
   00004    0.4588   -5305.7723  0.2861 
   00005    0.4452   -5533.5133  0.2914 
   00006    0.4352   -5781.8363  0.2877 
   00007    0.4032   -6014.1698  0.2988 
   00008    0.3744   -6101.9830  0.3074 
   00009    0.4000   -6242.6080  0.3134 
   00010    0.3496   -6322.1164  0.3081 
   00011    0.3688   -6439.8159  0.3045 
   00012    0.3624   -6494.9336  0.2988 
   00013    0.3504   -6601.6714  0.3042 
   00014    0.3648   -6667.3919  0.3045 
   00015    0.3392   -6755.0792  0.3094 
   00016    0.3256   -6778.7601  0.3096 
   00017    0.3464   -6862.5454  0.3110 
   00018    0.3316   -6953.2173  0.3221 
   00019    0.3312   -7069.0603  0.3187 
   00020    0.3164   -7077.9834  0.3213 
   00021    0.3292   -7109.6464  0.3237 
   00022    0.3176   -7127.1314  0.3359 
   00023    0.3140   -7197.6056  0.3351 
   00024    0.3100   -7162.8648  0.3430 
   00025    0.3168   -7190.2282  0.3405 
   00026    0.3052   -7186.1824  0.3426 
   00027    0.2976   -7174.3380  0.3432 
   00028    0.2852   -7212.5015  0.3361 
   00029    0.3160   -7292.0739  0.3448 
   00030    0.2912   -7299.3291  0.3424 
   00031    0.3052   -7298.0731  0.3471 
   00032    0.2960   -7282.7201  0.3524 
   00033    0.2944   -7346.8900  0.3516 
   00034    0.2908   -7380.8164  0.3528 
   00035    0.3060   -7354.1652  0.3564 
   00036    0.3052   -7402.0117  0.3561 
   00037    0.2884   -7373.5753  0.3502 
   00038    0.3096   -7382.6309  0.3624 
   00039    0.3084   -7362.9319  0.3662 
   00040    0.3032   -7449.1196  0.3759 
   00041    0.3000   -7427.7372  0.3697 
   00042    0.2992   -7386.2373  0.3699 
   00043    0.2800   -7449.9336  0.3663 
   00044    0.3148   -7471.8179  0.3630 
   00045    0.3048   -7502.1290  0.3599 
   00046    0.3000   -7473.8403  0.3608 
   00047    0.2780   -7494.2681  0.3585 
   00048    0.2884   -7533.7925  0.3634 
   00049    0.2784   -7531.9904  0.3633 
   00050    0.2856   -7491.1156  0.3657 
   00051    0.2848   -7504.8759  0.3638 
   00052    0.3024   -7486.9741  0.3625 
   00053    0.2844   -7488.1722  0.3662 
   00054    0.2840   -7484.8205  0.3755 
   00055    0.2900   -7463.5613  0.3817 
   00056    0.3036   -7500.6554  0.3789 
   00057    0.2928   -7578.2784  0.3819 
   00058    0.2960   -7514.3028  0.3851 
   00059    0.2992   -7518.8998  0.3850 
   00060    0.2928   -7569.1671  0.3831 
   00061    0.2888   -7581.0038  0.3773 
   00062    0.2780   -7611.2583  0.3762 
   00063    0.2756   -7560.3906  0.3834 
   00064    0.2860   -7557.9472  0.3848 
   00065    0.3160   -7536.7849  0.3835 
   00066    0.2736   -7529.7974  0.3884 
   00067    0.2640   -7603.5582  0.3932 
   00068    0.2708   -7624.7911  0.3943 
   00069    0.2848   -7620.8071  0.3902 
   00070    0.2920   -7666.3728  0.3879 
   00071    0.2612   -7697.6965  0.3948 
   00072    0.2752   -7721.8735  0.3895 
   00073    0.2784   -7714.6547  0.3841 
   00074    0.2872   -7676.5503  0.3833 
   00075    0.2796   -7705.4381  0.3814 
   00076    0.2720   -7750.5097  0.3880 
   00077    0.2756   -7699.3463  0.3957 
   00078    0.2820   -7728.5934  0.3960 
   00079    0.2824   -7756.1131  0.3937 
   00080    0.2716   -7749.4594  0.4017 
   00081    0.2700   -7799.8518  0.4090 
   00082    0.2736   -7816.7492  0.4175 
   00083    0.2816   -7833.8879  0.4203 
   00084    0.2716   -7825.2963  0.4198 
   00085    0.2820   -7880.9908  0.4202 
   00086    0.2764   -7895.2666  0.4282 
   00087    0.2608   -7830.2603  0.4294 
   00088    0.2732   -7825.4050  0.4265 
   00089    0.2748   -7838.1558  0.4328 
   00090    0.2788   -7912.7471  0.4385 
   00091    0.2724   -7896.8861  0.4355 
   00092    0.2512   -7882.2506  0.4297 
   00093    0.2644   -7874.4673  0.4288 
   00094    0.2688   -7839.9905  0.4270 
   00095    0.2748   -7871.9339  0.4344 
   00096    0.2664   -7884.9749  0.4340 
   00097    0.2564   -7922.8194  0.4329 
   00098    0.2700   -7835.0475  0.4308 
   00099    0.2760   -7832.3836  0.4353 
   00100    0.2732   -7818.2550  0.4358 
   00101    0.2872   -7851.9678  0.4409 
   00102    0.2700   -7876.7438  0.4436 
   00103    0.2624   -7891.4706  0.4424 
   00104    0.2836   -7935.6902  0.4435 
   00105    0.2604   -7916.5426  0.4361 
   00106    0.2744   -7931.0653  0.4269 
   00107    0.2664   -7892.5604  0.4286 
   00108    0.2624   -7917.7116  0.4296 
   00109    0.2696   -7893.6527  0.4314 
   00110    0.2660   -7874.5326  0.4329 
   00111    0.2524   -7828.2182  0.4379 
   00112    0.2684   -7836.0762  0.4414 
   00113    0.2664   -7820.6136  0.4398 
   00114    0.2916   -7877.8957  0.4415 
   00115    0.2620   -7870.1864  0.4436 
   00116    0.2724   -7896.0017  0.4435 
   00117    0.2596   -7905.5899  0.4430 
   00118    0.2576   -7942.3875  0.4408 
   00119    0.2536   -7933.4436  0.4462 
   00120    0.2584   -7942.0282  0.4505 
   00121    0.2752   -7928.3936  0.4482 
   00122    0.2632   -7977.0750  0.4617 
   00123    0.2680   -8020.6430  0.4687 
   00124    0.2596   -8038.0593  0.4704 
   00125    0.2656   -8031.3616  0.4732 
   00126    0.2536   -8051.4002  0.4686 
   00127    0.2732   -8024.7656  0.4754 
   00128    0.2476   -7996.7760  0.4793 
   00129    0.2496   -7975.7448  0.4807 
   00130    0.2672   -7975.7433  0.4760 
   00131    0.2536   -7997.0998  0.4808 
   00132    0.2580   -7951.1463  0.4831 
   00133    0.2576   -7919.1305  0.4821 
   00134    0.2544   -7978.9028  0.4831 
   00135    0.2496   -8036.9000  0.4835 
   00136    0.2580   -8058.3305  0.4881 
   00137    0.2640   -8079.1972  0.4941 
   00138    0.2440   -8070.2849  0.4937 
   00139    0.2380   -8029.2604  0.4957 
   00140    0.2596   -8040.8774  0.4963 
   00141    0.2676   -8027.5745  0.4988 
   00142    0.2560   -7967.2163  0.4948 
   00143    0.2796   -7947.1005  0.4928 
   00144    0.2512   -8014.9228  0.4919 
   00145    0.2744   -7994.8930  0.4914 
   00146    0.2440   -8029.9706  0.4828 
   00147    0.2392   -8019.0977  0.4806 
   00148    0.2716   -8046.2276  0.4805 
   00149    0.2640   -8048.4609  0.4750 
   00150    0.2536   -8057.3286  0.4793 
   00151    0.2524   -8017.7347  0.4880 
   00152    0.2488   -8000.7122  0.4876 
   00153    0.2572   -8055.3289  0.4900 
   00154    0.2688   -8050.2827  0.4891 
   00155    0.2404   -8079.9168  0.4920 
   00156    0.2612   -8075.1942  0.4941 
   00157    0.2572   -8043.9620  0.4923 
   00158    0.2436   -8096.9975  0.4956 
   00159    0.2424   -8100.0609  0.4975 
   00160    0.2392   -8099.7340  0.4990 
   00161    0.2476   -8068.3586  0.4979 
   00162    0.2580   -8025.8507  0.5101 
   00163    0.2656   -8019.9223  0.5032 
   00164    0.2624   -7987.6737  0.5098 
   00165    0.2604   -8008.5258  0.5043 
   00166    0.2524   -8070.3536  0.4983 
   00167    0.2596   -8048.7906  0.4961 
   00168    0.2540   -8013.7786  0.4961 
   00169    0.2392   -8009.5408  0.4938 
   00170    0.2684   -7999.3808  0.4926 
   00171    0.2544   -7993.9281  0.4906 
   00172    0.2572   -7975.9611  0.4932 
   00173    0.2728   -8059.7598  0.5032 
   00174    0.2700   -8077.1566  0.5093 
   00175    0.2648   -8032.2286  0.5068 
   00176    0.2504   -8062.0693  0.5048 
   00177    0.2592   -7988.3002  0.5100 
   00178    0.2528   -8003.1987  0.5114 
   00179    0.2580   -7970.2021  0.5163 
   00180    0.2556   -7944.8940  0.5144 
   00181    0.2804   -7964.4836  0.5133 
   00182    0.2588   -7927.3900  0.5019 
   00183    0.2776   -7914.6485  0.5039 
   00184    0.2832   -7918.1203  0.5028 
   00185    0.2664   -7921.7601  0.5108 
   00186    0.2864   -7962.8114  0.5096 
   00187    0.2780   -7981.1999  0.5164 
   00188    0.2612   -8014.4705  0.5122 
   00189    0.2600   -7985.8499  0.5108 
   00190    0.2696   -7982.7964  0.5190 
   00191    0.2660   -7960.4850  0.5218 
   00192    0.2520   -7979.6238  0.5156 
   00193    0.2576   -7954.9325  0.5164 
   00194    0.2632   -8010.9059  0.5187 
   00195    0.2512   -7997.3352  0.5229 
   00196    0.2372   -7984.0775  0.5206 
   00197    0.2508   -7968.3211  0.5287 
   00198    0.2484   -7983.4731  0.5299 
   00199    0.2688   -7990.5815  0.5261 
   00200    0.2496   -8035.2572  0.5297 
   00201    0.2504   -8021.2973  0.5307 
   00202    0.2388   -8012.8504  0.5269 
   00203    0.2684   -8016.7427  0.5295 
   00204    0.2588   -8011.0910  0.5332 
   00205    0.2668   -7983.4360  0.5286 
   00206    0.2568   -7975.6197  0.5271 
   00207    0.2532   -8013.3482  0.5253 
   00208    0.2492   -8036.8147  0.5302 
   00209    0.2648   -8007.3135  0.5290 
   00210    0.2676   -8055.6447  0.5315 
   00211    0.2560   -8085.6375  0.5261 
   00212    0.2616   -8065.3900  0.5287 
   00213    0.2580   -8070.0371  0.5326 
   00214    0.2564   -8099.2736  0.5264 
   00215    0.2640   -8042.4089  0.5229 
   00216    0.2716   -8047.4419  0.5243 
   00217    0.2440   -8026.6431  0.5233 
   00218    0.2836   -8059.3102  0.5212 
   00219    0.2536   -8062.7416  0.5154 
   00220    0.2576   -8042.2211  0.5194 
   00221    0.2520   -8042.1112  0.5180 
   00222    0.2480   -8080.7118  0.5170 
   00223    0.2552   -8055.7212  0.5155 
   00224    0.2388   -8077.4269  0.5178 
   00225    0.2504   -8069.1817  0.5190 
   00226    0.2508   -8026.8232  0.5181 
   00227    0.2440   -8044.2241  0.5120 
   00228    0.2696   -8075.9764  0.5189 
   00229    0.2624   -8059.2483  0.5246 
   00230    0.2552   -8075.3197  0.5219 
   00231    0.2476   -8120.2444  0.5305 
   00232    0.2376   -8161.1795  0.5348 
   00233    0.2536   -8160.3221  0.5312 
   00234    0.2436   -8096.2952  0.5301 
   00235    0.2504   -8105.5532  0.5317 
   00236    0.2496   -8102.6664  0.5285 
   00237    0.2384   -8151.4368  0.5351 
   00238    0.2472   -8135.8163  0.5412 
   00239    0.2520   -8116.9425  0.5417 
   00240    0.2492   -8151.5597  0.5416 
   00241    0.2384   -8132.5600  0.5413 
   00242    0.2552   -8168.4455  0.5376 
   00243    0.2412   -8175.8318  0.5376 
   00244    0.2376   -8162.8297  0.5331 
   00245    0.2480   -8139.9083  0.5308 
   00246    0.2468   -8143.6553  0.5292 
   00247    0.2516   -8138.8468  0.5282 
   00248    0.2636   -8131.6202  0.5291 
   00249    0.2632   -8155.5384  0.5351 
   00250    0.2636   -8122.6638  0.5364 
   00251    0.2612   -8156.3538  0.5334 
   00252    0.2576   -8125.3011  0.5325 
   00253    0.2536   -8147.0267  0.5367 
   00254    0.2516   -8149.8177  0.5299 
   00255    0.2464   -8145.8226  0.5325 
   00256    0.2404   -8128.3493  0.5300 
   00257    0.2464   -8107.4748  0.5306 
   00258    0.2492   -8072.9402  0.5302 
   00259    0.2456   -8088.1946  0.5299 
   00260    0.2536   -8138.2469  0.5332 
   00261    0.2608   -8152.0307  0.5412 
   00262    0.2644   -8171.3128  0.5486 
   00263    0.2528   -8129.8711  0.5475 
   00264    0.2620   -8120.4286  0.5463 
   00265    0.2652   -8103.5254  0.5471 
   00266    0.2588   -8131.2327  0.5435 
   00267    0.2436   -8160.9164  0.5405 
   00268    0.2588   -8120.4106  0.5384 
   00269    0.2548   -8151.5559  0.5364 
   00270    0.2340   -8214.1782  0.5352 
   00271    0.2500   -8163.7706  0.5418 
   00272    0.2524   -8135.3789  0.5390 
   00273    0.2576   -8128.3323  0.5389 
   00274    0.2616   -8131.8777  0.5386 
   00275    0.2488   -8116.9959  0.5366 
   00276    0.2528   -8109.7848  0.5342 
   00277    0.2560   -8058.4925  0.5363 
   00278    0.2588   -8083.2166  0.5345 
   00279    0.2588   -8123.7389  0.5378 
   00280    0.2420   -8128.2152  0.5444 
   00281    0.2544   -8085.9202  0.5469 
   00282    0.2408   -8078.0278  0.5479 
   00283    0.2600   -8074.9499  0.5447 
