#=====================================================
# File created:        Sun-02-Nov-2025-at-08-11-11PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        8.411606
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2594.9214  0.2719 
   00001    0.0000   -3769.8787  0.2694 
   00002    0.0000   -4521.7768  0.2778 
   00003    0.0000   -5012.9586  0.2808 
   00004    0.0000   -5351.3915  0.2696 
   00005    0.0000   -5668.4055  0.2673 
   00006    0.0000   -5920.1185  0.2710 
   00007    0.0000   -6164.3307  0.2767 
   00008    0.0000   -6333.0861  0.2821 
   00009    0.0000   -6428.7138  0.2866 
   00010    0.0000   -6569.6040  0.2924 
   00011    0.0000   -6691.3434  0.2974 
   00012    0.0000   -6767.8370  0.3035 
   00013    0.0000   -6837.9128  0.3052 
   00014    0.0000   -6847.9883  0.3048 
   00015    0.0000   -6855.6037  0.3069 
   00016    0.0000   -6907.3198  0.3104 
   00017    0.0000   -6967.5993  0.3012 
   00018    0.0000   -7050.9135  0.3062 
   00019    0.0000   -7111.0984  0.3010 
   00020    0.0000   -7154.5620  0.3062 
   00021    0.0000   -7169.0088  0.3156 
   00022    0.0000   -7194.7103  0.3156 
   00023    0.0000   -7245.8867  0.3127 
   00024    0.0000   -7278.6261  0.3206 
   00025    0.0000   -7242.2638  0.3150 
   00026    0.0000   -7357.3357  0.3158 
   00027    0.0000   -7364.0765  0.3055 
   00028    0.0000   -7355.9881  0.3043 
   00029    0.0000   -7431.7477  0.3191 
   00030    0.0000   -7466.9106  0.3108 
   00031    0.0000   -7428.3205  0.3149 
   00032    0.0000   -7472.1000  0.3184 
   00033    0.0000   -7504.7269  0.3152 
   00034    0.0000   -7534.9992  0.3073 
   00035    0.0000   -7554.8283  0.3232 
   00036    0.0000   -7602.8298  0.3258 
   00037    0.0000   -7589.3111  0.3234 
   00038    0.0000   -7612.0160  0.3165 
   00039    0.0000   -7620.6292  0.3242 
   00040    0.0000   -7652.1137  0.3260 
   00041    0.0000   -7674.4551  0.3311 
   00042    0.0000   -7649.1346  0.3272 
   00043    0.0000   -7653.7108  0.3296 
   00044    0.0000   -7674.3873  0.3233 
   00045    0.0000   -7677.8786  0.3277 
