#=====================================================
# File created:        Sun-02-Nov-2025-at-08-06-03PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        20.507619
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2528.8603  0.2635 
   00001    0.6176   -3637.9550  0.2607 
   00002    0.5456   -4390.9729  0.2551 
   00003    0.5140   -4952.4906  0.2636 
   00004    0.4576   -5251.0479  0.2687 
   00005    0.4156   -5546.6378  0.2670 
   00006    0.4168   -5793.3756  0.2652 
   00007    0.3896   -6007.7066  0.2688 
   00008    0.3884   -6145.5907  0.2757 
   00009    0.3608   -6331.3264  0.2714 
   00010    0.3664   -6439.7221  0.2802 
   00011    0.3472   -6560.3370  0.2768 
   00012    0.3320   -6578.6360  0.2847 
   00013    0.3236   -6688.2793  0.2848 
   00014    0.3488   -6746.5846  0.2880 
   00015    0.3320   -6804.9787  0.2947 
   00016    0.3392   -6847.7615  0.3026 
   00017    0.3372   -6894.6036  0.3017 
   00018    0.3348   -6944.6272  0.3005 
   00019    0.3148   -6971.1544  0.3008 
   00020    0.3268   -7027.6138  0.3090 
   00021    0.3112   -7085.9985  0.3151 
   00022    0.3216   -7170.8522  0.3101 
   00023    0.2968   -7201.8958  0.3134 
   00024    0.3088   -7317.1633  0.3108 
   00025    0.2896   -7374.1276  0.3076 
   00026    0.3008   -7404.7970  0.3182 
   00027    0.2868   -7413.4106  0.3232 
   00028    0.3096   -7447.2485  0.3192 
   00029    0.2884   -7464.8689  0.3186 
   00030    0.2920   -7470.8387  0.3165 
   00031    0.2748   -7447.1181  0.3206 
   00032    0.3012   -7520.5348  0.3224 
   00033    0.2700   -7493.9833  0.3311 
   00034    0.3060   -7511.5696  0.3383 
   00035    0.2776   -7486.1638  0.3344 
   00036    0.2796   -7523.7764  0.3384 
   00037    0.2968   -7517.4156  0.3338 
   00038    0.2868   -7514.0868  0.3330 
   00039    0.2996   -7471.5213  0.3356 
   00040    0.2736   -7514.3633  0.3290 
   00041    0.2976   -7495.9780  0.3318 
   00042    0.2828   -7489.9149  0.3338 
   00043    0.2684   -7508.7827  0.3295 
   00044    0.2936   -7512.1643  0.3308 
   00045    0.2832   -7536.0052  0.3247 
   00046    0.2904   -7555.0367  0.3295 
   00047    0.2916   -7562.1633  0.3259 
   00048    0.2752   -7578.2475  0.3287 
   00049    0.2892   -7598.6519  0.3288 
   00050    0.2704   -7577.7410  0.3222 
   00051    0.2736   -7576.9025  0.3166 
   00052    0.2976   -7600.5267  0.3211 
   00053    0.2768   -7658.1129  0.3230 
   00054    0.2936   -7612.6347  0.3265 
   00055    0.2780   -7577.4645  0.3271 
   00056    0.2848   -7629.9490  0.3285 
   00057    0.2700   -7639.3879  0.3385 
   00058    0.2776   -7612.2589  0.3514 
   00059    0.2744   -7626.4774  0.3559 
   00060    0.2884   -7611.7424  0.3613 
   00061    0.2804   -7577.0716  0.3780 
   00062    0.2904   -7580.2914  0.3858 
   00063    0.2920   -7589.5734  0.3921 
   00064    0.3076   -7638.0997  0.3974 
   00065    0.3120   -7651.7429  0.3993 
   00066    0.2848   -7674.2937  0.3925 
   00067    0.2828   -7689.1277  0.4003 
   00068    0.2808   -7722.3437  0.4063 
   00069    0.2672   -7708.3752  0.4006 
   00070    0.2680   -7749.0385  0.4096 
   00071    0.2572   -7748.5103  0.4137 
   00072    0.2756   -7745.2203  0.4192 
   00073    0.2780   -7773.0382  0.4206 
   00074    0.2628   -7789.9913  0.4183 
   00075    0.2736   -7796.0615  0.4119 
   00076    0.2760   -7772.5761  0.4116 
   00077    0.2840   -7767.1459  0.4220 
   00078    0.2700   -7817.6113  0.4186 
   00079    0.2664   -7822.7970  0.4169 
   00080    0.2732   -7888.7166  0.4263 
   00081    0.2540   -7933.2985  0.4269 
   00082    0.2720   -7882.0417  0.4187 
   00083    0.2604   -7836.1252  0.4187 
   00084    0.2648   -7859.4625  0.4215 
   00085    0.2744   -7820.0265  0.4238 
   00086    0.2732   -7824.7131  0.4309 
   00087    0.2844   -7802.9216  0.4279 
   00088    0.2696   -7829.4101  0.4265 
   00089    0.2900   -7785.8441  0.4172 
   00090    0.2704   -7894.1039  0.4152 
   00091    0.2664   -7819.0035  0.4212 
   00092    0.2572   -7847.4901  0.4138 
   00093    0.2656   -7853.0465  0.4099 
   00094    0.2668   -7924.4623  0.4145 
   00095    0.2624   -7975.0081  0.4178 
   00096    0.2592   -8002.2036  0.4230 
   00097    0.2576   -8033.9532  0.4286 
   00098    0.2656   -8048.1083  0.4335 
   00099    0.2572   -8031.6130  0.4358 
   00100    0.2592   -7967.0060  0.4402 
   00101    0.2748   -7998.5003  0.4384 
   00102    0.2568   -7984.2804  0.4393 
   00103    0.2552   -7932.2073  0.4357 
   00104    0.2668   -7935.1747  0.4386 
   00105    0.2540   -7917.5639  0.4334 
   00106    0.2788   -7927.0956  0.4371 
   00107    0.2552   -7881.3079  0.4329 
   00108    0.2848   -7873.4200  0.4350 
   00109    0.2648   -7892.7225  0.4315 
   00110    0.2780   -7954.0631  0.4312 
   00111    0.2408   -7915.4524  0.4266 
   00112    0.2616   -7877.1823  0.4267 
   00113    0.2832   -7951.1251  0.4282 
   00114    0.2628   -7995.7821  0.4307 
   00115    0.2560   -7963.3438  0.4390 
   00116    0.2556   -7974.5879  0.4465 
   00117    0.2664   -7979.0675  0.4463 
   00118    0.2676   -7986.1980  0.4404 
   00119    0.2684   -7952.2604  0.4409 
   00120    0.2644   -7980.5520  0.4369 
   00121    0.2520   -7984.4610  0.4463 
   00122    0.2728   -7981.7391  0.4488 
   00123    0.2664   -7921.6369  0.4417 
   00124    0.2668   -7952.5294  0.4426 
   00125    0.2532   -7889.1316  0.4434 
   00126    0.2780   -7882.6873  0.4465 
   00127    0.2680   -7852.7938  0.4473 
   00128    0.2676   -7911.0930  0.4521 
   00129    0.2416   -7913.2567  0.4562 
   00130    0.2624   -7899.9843  0.4524 
   00131    0.2748   -7892.7472  0.4550 
   00132    0.2608   -7885.0581  0.4506 
   00133    0.2676   -7821.4856  0.4532 
   00134    0.2820   -7866.4334  0.4558 
   00135    0.2684   -7888.0885  0.4584 
   00136    0.2664   -7872.4450  0.4574 
   00137    0.2636   -7933.1023  0.4687 
   00138    0.2720   -7952.5432  0.4636 
   00139    0.2608   -7907.4754  0.4650 
   00140    0.2580   -7915.8620  0.4706 
   00141    0.2644   -7920.0912  0.4666 
   00142    0.2448   -7934.5174  0.4711 
   00143    0.2680   -7961.3448  0.4661 
   00144    0.2768   -7993.3581  0.4548 
   00145    0.2516   -8038.6158  0.4605 
   00146    0.2676   -8037.6792  0.4611 
   00147    0.2504   -7990.9710  0.4608 
   00148    0.2736   -7985.4516  0.4622 
   00149    0.2512   -8006.9355  0.4635 
   00150    0.2640   -7973.4523  0.4610 
   00151    0.2568   -7987.8984  0.4616 
   00152    0.2560   -8023.3027  0.4604 
   00153    0.2548   -7955.7677  0.4595 
   00154    0.2500   -7971.8378  0.4479 
   00155    0.2600   -8036.6268  0.4516 
   00156    0.2432   -8061.4783  0.4519 
   00157    0.2360   -8043.6253  0.4543 
   00158    0.2580   -8062.5548  0.4521 
   00159    0.2624   -8058.7810  0.4565 
   00160    0.2740   -8053.3330  0.4688 
   00161    0.2512   -7977.3281  0.4738 
   00162    0.2368   -8012.1045  0.4842 
   00163    0.2636   -8013.2269  0.4845 
   00164    0.2520   -8044.6930  0.4849 
   00165    0.2696   -8034.6328  0.4886 
   00166    0.2628   -8014.0309  0.4901 
   00167    0.2656   -8049.2549  0.4893 
   00168    0.2616   -8054.2815  0.4877 
   00169    0.2588   -8016.2961  0.4926 
   00170    0.2528   -8082.5876  0.4984 
   00171    0.2528   -8078.7991  0.4961 
   00172    0.2396   -8099.3959  0.4985 
   00173    0.2516   -8130.7006  0.4984 
