#=====================================================
# File created:        Thu-30-Oct-2025-at-01-35-59PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        15.038611
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2520.7747  0.2633 
   00001    0.6308   -3886.3440  0.2858 
   00002    0.5316   -4773.0208  0.2826 
   00003    0.4860   -5356.6040  0.2894 
   00004    0.4332   -5750.3192  0.2869 
   00005    0.3952   -6111.6050  0.2792 
   00006    0.3788   -6477.7317  0.2845 
   00007    0.3512   -6693.1043  0.2842 
   00008    0.3472   -6931.8640  0.2807 
   00009    0.3280   -7092.9511  0.2789 
   00010    0.3152   -7195.3269  0.2818 
   00011    0.3084   -7320.5876  0.2842 
   00012    0.3044   -7433.3595  0.2867 
   00013    0.3004   -7538.3224  0.2898 
   00014    0.3000   -7639.3353  0.2920 
   00015    0.3008   -7721.1755  0.2953 
   00016    0.2720   -7837.5345  0.2960 
   00017    0.2780   -7915.1539  0.2972 
   00018    0.2636   -7978.1114  0.2989 
   00019    0.2608   -8013.7118  0.2976 
   00020    0.2484   -8063.9952  0.2967 
   00021    0.2524   -8138.0816  0.2947 
   00022    0.2372   -8188.0218  0.2982 
   00023    0.2464   -8217.0977  0.2954 
   00024    0.2600   -8286.0964  0.2955 
   00025    0.2344   -8293.8687  0.2947 
   00026    0.2536   -8330.6114  0.2943 
   00027    0.2516   -8367.2199  0.2974 
   00028    0.2280   -8403.1546  0.2969 
   00029    0.2356   -8418.8636  0.2988 
   00030    0.2532   -8448.1321  0.2981 
   00031    0.2428   -8493.5606  0.2968 
   00032    0.2172   -8506.3801  0.2994 
   00033    0.2348   -8536.7487  0.2962 
   00034    0.2308   -8554.7980  0.2945 
   00035    0.2256   -8574.3822  0.2945 
   00036    0.2344   -8584.9742  0.2943 
   00037    0.2288   -8591.6544  0.2938 
   00038    0.2372   -8616.7975  0.2906 
   00039    0.2360   -8637.0309  0.2932 
   00040    0.2264   -8651.0353  0.2970 
   00041    0.2328   -8637.9131  0.2992 
   00042    0.2100   -8644.4777  0.3023 
   00043    0.2260   -8662.6780  0.3030 
   00044    0.2076   -8693.2419  0.3042 
   00045    0.2144   -8694.0772  0.3019 
   00046    0.2224   -8704.8824  0.3036 
   00047    0.2036   -8707.8183  0.3043 
   00048    0.2292   -8706.1804  0.3036 
   00049    0.2068   -8732.7806  0.3032 
   00050    0.2076   -8720.0836  0.3049 
   00051    0.2152   -8730.7641  0.3045 
   00052    0.2040   -8742.5011  0.3032 
   00053    0.2360   -8759.7656  0.3030 
   00054    0.2064   -8765.0772  0.3022 
   00055    0.2276   -8778.0086  0.3042 
   00056    0.2112   -8797.6255  0.3062 
   00057    0.2104   -8810.8811  0.3076 
   00058    0.2380   -8809.7708  0.3093 
   00059    0.2204   -8822.3945  0.3110 
   00060    0.2164   -8823.2135  0.3105 
   00061    0.2072   -8834.7043  0.3132 
   00062    0.2124   -8839.0263  0.3141 
