#=====================================================
# File created:        Wed-29-Oct-2025-at-10-48-19PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.470147
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2474.1825  0.2603 
   00001    0.6880   -3619.8914  0.2576 
   00002    0.6236   -4361.3909  0.2751 
   00003    0.5936   -4973.7892  0.2691 
   00004    0.5460   -5437.7272  0.2776 
   00005    0.5552   -5734.8070  0.2814 
   00006    0.5132   -5989.2453  0.2908 
   00007    0.5148   -6229.6485  0.2916 
   00008    0.5092   -6472.9320  0.2922 
   00009    0.4852   -6658.5193  0.3008 
   00010    0.5008   -6801.4286  0.2917 
   00011    0.4976   -6940.5005  0.2917 
   00012    0.4688   -7114.7683  0.2957 
   00013    0.4572   -7204.8224  0.2963 
   00014    0.4628   -7301.9714  0.3029 
   00015    0.4592   -7338.0611  0.3019 
   00016    0.4596   -7316.8077  0.3042 
   00017    0.4600   -7381.2165  0.3060 
   00018    0.4612   -7503.7797  0.3048 
   00019    0.4644   -7530.5143  0.3080 
   00020    0.4724   -7582.8343  0.3046 
   00021    0.4496   -7643.9852  0.3001 
   00022    0.4520   -7662.0149  0.3022 
   00023    0.4416   -7735.4381  0.2990 
   00024    0.4152   -7752.3155  0.2983 
   00025    0.4216   -7754.2531  0.2974 
   00026    0.4416   -7777.4390  0.2952 
   00027    0.4420   -7821.0805  0.2912 
   00028    0.4348   -7851.7149  0.2892 
   00029    0.4456   -7872.8041  0.2838 
   00030    0.4276   -7911.2945  0.2846 
   00031    0.4424   -7962.8178  0.2894 
   00032    0.4308   -7971.6321  0.2925 
   00033    0.4316   -7926.3736  0.2906 
   00034    0.4436   -7917.4855  0.2913 
   00035    0.4360   -7957.4630  0.2856 
   00036    0.4336   -8028.9974  0.2829 
   00037    0.4408   -8038.8598  0.2789 
   00038    0.4280   -8016.5924  0.2753 
   00039    0.4492   -8030.6287  0.2713 
