iterations,size,temperature,order,time
1,1,0.5,1.000,0.000094
1,1,0.5,1.000,0.000094
1,2,0.5,0.304,0.000151
1,3,0.5,0.465,0.000221
1,4,0.5,0.413,0.000322
1,5,0.5,0.507,0.000446
1,7,0.5,0.274,0.000770
1,10,0.5,0.304,0.001520
1,14,0.5,0.323,0.002795
1,19,0.5,0.280,0.005015
1,27,0.5,0.278,0.010005
1,37,0.5,0.267,0.018642
1,52,0.5,0.266,0.036422
1,72,0.5,0.255,0.066267
1,100,0.5,0.257,0.127178
2,1,0.5,1.000,0.000144
2,1,0.5,1.000,0.000147
2,2,0.5,0.722,0.000254
2,3,0.5,0.835,0.000399
2,4,0.5,0.429,0.000600
2,5,0.5,0.352,0.000844
2,7,0.5,0.270,0.001512
2,10,0.5,0.392,0.002925
2,14,0.5,0.283,0.005497
2,19,0.5,0.287,0.010054
2,27,0.5,0.297,0.020065
2,37,0.5,0.270,0.037257
2,52,0.5,0.273,0.071704
2,72,0.5,0.267,0.134123
2,100,0.5,0.252,0.256076
2,1,0.5,1.000,0.000295
2,1,0.5,1.000,0.000163
2,2,0.5,0.600,0.001724
2,3,0.5,0.641,0.000395
2,4,0.5,0.410,0.000593
2,5,0.5,0.300,0.000831
2,7,0.5,0.448,0.001502
2,10,0.5,0.254,0.002943
2,14,0.5,0.344,0.005542
2,19,0.5,0.260,0.010131
2,27,0.5,0.275,0.020183
2,37,0.5,0.260,0.037320
2,52,0.5,0.263,0.071379
2,72,0.5,0.261,0.133815
2,100,0.5,0.253,0.254246
4,1,0.5,1.000,0.000249
4,1,0.5,1.000,0.000254
4,2,0.5,0.830,0.000459
4,3,0.5,0.462,0.000727
4,4,0.5,0.644,0.001134
4,5,0.5,0.506,0.001629
4,7,0.5,0.494,0.002939
4,10,0.5,0.440,0.005737
4,14,0.5,0.295,0.010947
4,19,0.5,0.299,0.020040
4,27,0.5,0.323,0.039478
4,37,0.5,0.292,0.073919
4,52,0.5,0.273,0.140885
4,72,0.5,0.282,0.265162
4,100,0.5,0.264,0.510065
6,1,0.5,1.000,0.000342
6,1,0.5,1.000,0.000339
6,2,0.5,0.985,0.000626
6,3,0.5,0.507,0.001050
6,4,0.5,0.740,0.001640
6,5,0.5,0.628,0.002396
6,7,0.5,0.319,0.004421
6,10,0.5,0.403,0.008671
6,14,0.5,0.390,0.016607
6,19,0.5,0.310,0.029745
6,27,0.5,0.284,0.080510
6,37,0.5,0.314,0.111288
6,52,0.5,0.278,0.210438
6,72,0.5,0.252,0.399056
6,100,0.5,0.283,0.763281
9,1,0.5,1.000,0.000473
9,1,0.5,1.000,0.000485
9,2,0.5,0.810,0.000898
9,3,0.5,0.732,0.001531
9,4,0.5,0.707,0.002412
9,5,0.5,0.382,0.003549
9,7,0.5,0.460,0.006580
9,10,0.5,0.322,0.012776
9,14,0.5,0.460,0.024501
9,19,0.5,0.442,0.043927
9,27,0.5,0.323,0.088516
9,37,0.5,0.283,0.161657
9,52,0.5,0.256,0.314828
9,72,0.5,0.259,0.597844
9,100,0.5,0.261,1.149911
14,1,0.5,1.000,0.000665
14,1,0.5,1.000,0.000678
14,2,0.5,0.989,0.001363
14,3,0.5,0.965,0.002333
14,4,0.5,0.914,0.003680
14,5,0.5,0.762,0.005478
14,7,0.5,0.760,0.041633
14,10,0.5,0.415,0.020093
14,14,0.5,0.433,0.038108
14,19,0.5,0.275,0.066239
14,27,0.5,0.321,0.180335
14,37,0.5,0.297,0.255739
14,52,0.5,0.301,0.488252
14,72,0.5,0.317,0.936838
