#=====================================================
# File created:        Wed-29-Oct-2025-at-10-12-35PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        33.393822
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2453.6482  0.2574 
   00001    0.6976   -3669.9979  0.2663 
   00002    0.6192   -4440.1944  0.2754 
   00003    0.5824   -5032.4912  0.2752 
   00004    0.5404   -5443.5847  0.2860 
   00005    0.5480   -5825.2748  0.2820 
   00006    0.5124   -6115.4718  0.2870 
   00007    0.5236   -6381.4131  0.2816 
   00008    0.5040   -6564.8409  0.2816 
   00009    0.4944   -6753.4889  0.2805 
   00010    0.4956   -6855.8959  0.2785 
   00011    0.4856   -6935.1044  0.2846 
   00012    0.4636   -7047.4508  0.2824 
   00013    0.4552   -7179.5762  0.2842 
   00014    0.4616   -7277.6537  0.2839 
   00015    0.4492   -7350.1491  0.2943 
   00016    0.4436   -7407.9404  0.2940 
   00017    0.4456   -7460.3769  0.2925 
   00018    0.4556   -7508.2801  0.2953 
   00019    0.4484   -7534.0921  0.2927 
   00020    0.4476   -7583.4131  0.2954 
   00021    0.4384   -7599.0848  0.2856 
   00022    0.4568   -7648.3100  0.2862 
   00023    0.4436   -7718.2750  0.2825 
   00024    0.4616   -7723.0343  0.2881 
   00025    0.4468   -7689.0287  0.2918 
   00026    0.4416   -7745.6990  0.2910 
   00027    0.4440   -7832.7423  0.2914 
   00028    0.4292   -7792.8978  0.2936 
   00029    0.4304   -7818.7093  0.2949 
   00030    0.4464   -7831.8311  0.2944 
   00031    0.4340   -7790.1007  0.2927 
   00032    0.4348   -7850.8175  0.2904 
   00033    0.4400   -7819.3958  0.2976 
   00034    0.4504   -7860.0799  0.3036 
   00035    0.4500   -7859.3755  0.3044 
   00036    0.4316   -7883.9687  0.3027 
   00037    0.4512   -7891.5516  0.2966 
   00038    0.4492   -7950.9107  0.3011 
   00039    0.4272   -7929.2860  0.2997 
   00040    0.4316   -7912.8750  0.2934 
   00041    0.4368   -7926.8414  0.2964 
   00042    0.4424   -7968.5068  0.3045 
   00043    0.4364   -7981.8065  0.3021 
   00044    0.4452   -8011.4744  0.3056 
   00045    0.4208   -7990.8650  0.3070 
   00046    0.4216   -8057.7779  0.3052 
   00047    0.4208   -8047.1527  0.3073 
   00048    0.4220   -8046.0231  0.3086 
   00049    0.4336   -8059.5515  0.3090 
   00050    0.4144   -8055.6364  0.3114 
   00051    0.4484   -8035.9919  0.3167 
   00052    0.4152   -8013.1050  0.3179 
   00053    0.4360   -8053.1737  0.3185 
   00054    0.4436   -8078.0025  0.3156 
   00055    0.4212   -8095.4436  0.3167 
   00056    0.4200   -8113.1488  0.3185 
   00057    0.4284   -8057.6965  0.3146 
   00058    0.4468   -8117.6368  0.3162 
   00059    0.4204   -8153.5495  0.3211 
   00060    0.4280   -8120.8492  0.3201 
   00061    0.4124   -8111.5465  0.3327 
   00062    0.4208   -8163.1187  0.3315 
   00063    0.4168   -8155.5216  0.3373 
   00064    0.4160   -8146.7175  0.3334 
   00065    0.4028   -8116.5291  0.3345 
   00066    0.4328   -8134.5255  0.3294 
   00067    0.4336   -8132.4617  0.3286 
   00068    0.4280   -8159.2625  0.3306 
   00069    0.4300   -8178.3233  0.3286 
   00070    0.4144   -8171.7559  0.3324 
   00071    0.4024   -8136.2330  0.3386 
   00072    0.4372   -8169.5800  0.3405 
   00073    0.4224   -8214.9289  0.3442 
   00074    0.4364   -8184.2935  0.3394 
   00075    0.4196   -8185.1372  0.3386 
   00076    0.4288   -8152.3870  0.3405 
   00077    0.4352   -8127.9017  0.3373 
   00078    0.4360   -8138.6674  0.3348 
   00079    0.4292   -8156.4949  0.3358 
   00080    0.4176   -8199.8169  0.3338 
   00081    0.4308   -8184.8639  0.3236 
   00082    0.4364   -8168.7864  0.3174 
   00083    0.4308   -8230.4860  0.3246 
   00084    0.4292   -8243.1604  0.3264 
   00085    0.4184   -8270.1298  0.3290 
   00086    0.4260   -8327.0332  0.3285 
   00087    0.4288   -8324.8029  0.3291 
   00088    0.4040   -8338.9095  0.3269 
   00089    0.4056   -8348.4034  0.3264 
   00090    0.4248   -8358.5766  0.3228 
   00091    0.4220   -8370.3122  0.3227 
   00092    0.4232   -8337.5300  0.3256 
   00093    0.4292   -8371.4943  0.3217 
   00094    0.4220   -8359.6266  0.3163 
   00095    0.4112   -8382.0026  0.3146 
   00096    0.4088   -8366.2639  0.3180 
   00097    0.4132   -8368.3671  0.3156 
   00098    0.4120   -8369.0002  0.3135 
   00099    0.4188   -8362.3389  0.3167 
   00100    0.4292   -8386.3095  0.3157 
   00101    0.4052   -8383.2904  0.3164 
   00102    0.4240   -8310.2181  0.3151 
   00103    0.4328   -8311.5576  0.3136 
   00104    0.4144   -8325.1329  0.3140 
   00105    0.4216   -8343.2929  0.3178 
   00106    0.4296   -8339.6979  0.3183 
   00107    0.4268   -8390.7943  0.3210 
   00108    0.4124   -8394.9883  0.3224 
   00109    0.4036   -8354.9320  0.3235 
   00110    0.4288   -8336.3734  0.3270 
   00111    0.4040   -8357.8269  0.3258 
   00112    0.4160   -8328.8236  0.3220 
   00113    0.4256   -8308.6415  0.3218 
   00114    0.4332   -8336.1632  0.3211 
   00115    0.4080   -8346.6920  0.3195 
   00116    0.4216   -8335.0766  0.3172 
   00117    0.4160   -8377.3508  0.3116 
   00118    0.4340   -8372.8986  0.3162 
   00119    0.4316   -8341.2615  0.3112 
   00120    0.4336   -8365.6285  0.3126 
   00121    0.4060   -8348.3286  0.3125 
   00122    0.4272   -8362.0907  0.3209 
   00123    0.4048   -8323.5598  0.3215 
   00124    0.4252   -8373.8786  0.3202 
   00125    0.4180   -8396.1015  0.3174 
   00126    0.4080   -8391.5704  0.3152 
   00127    0.3996   -8363.2449  0.3143 
   00128    0.4084   -8352.2524  0.3138 
   00129    0.4216   -8335.3671  0.3169 
   00130    0.4028   -8340.6500  0.3178 
   00131    0.4156   -8376.3242  0.3191 
   00132    0.4260   -8283.7618  0.3205 
   00133    0.4172   -8322.7188  0.3200 
   00134    0.3976   -8309.2731  0.3186 
   00135    0.4092   -8371.3033  0.3231 
   00136    0.4128   -8338.5712  0.3227 
   00137    0.4288   -8323.5868  0.3199 
   00138    0.4288   -8382.0864  0.3181 
   00139    0.3836   -8387.2276  0.3155 
   00140    0.4092   -8320.4763  0.3149 
   00141    0.4176   -8333.6107  0.3187 
   00142    0.4140   -8335.2140  0.3207 
   00143    0.4116   -8337.0099  0.3209 
   00144    0.4256   -8294.4123  0.3197 
   00145    0.4156   -8296.9010  0.3190 
   00146    0.4328   -8359.1687  0.3166 
   00147    0.4248   -8355.0816  0.3101 
   00148    0.4080   -8391.3308  0.3068 
   00149    0.4140   -8413.1468  0.3039 
   00150    0.4204   -8416.2925  0.3061 
   00151    0.4148   -8461.7517  0.3029 
   00152    0.4252   -8470.7442  0.3056 
   00153    0.4032   -8456.1781  0.3060 
   00154    0.4132   -8441.9938  0.3045 
   00155    0.4080   -8409.3383  0.3021 
   00156    0.4160   -8431.3572  0.3000 
   00157    0.4424   -8387.6340  0.2960 
   00158    0.4136   -8414.0782  0.2967 
   00159    0.4180   -8431.3782  0.2971 
   00160    0.3908   -8450.0320  0.2928 
   00161    0.4160   -8438.4512  0.2957 
   00162    0.4156   -8415.1296  0.2968 
   00163    0.4088   -8366.7478  0.2947 
   00164    0.4032   -8381.8462  0.2883 
   00165    0.4320   -8389.4329  0.2847 
   00166    0.4044   -8388.0489  0.2906 
   00167    0.4156   -8394.4087  0.2879 
   00168    0.4296   -8342.1308  0.2912 
   00169    0.4164   -8344.7449  0.2923 
   00170    0.4188   -8367.3780  0.2884 
   00171    0.3992   -8363.6626  0.2890 
   00172    0.4232   -8332.4149  0.2931 
   00173    0.4120   -8363.8671  0.2900 
   00174    0.4268   -8364.6361  0.2940 
   00175    0.4076   -8375.7975  0.3002 
   00176    0.4248   -8416.0388  0.2967 
   00177    0.4140   -8444.2205  0.3005 
   00178    0.4148   -8406.4182  0.3012 
   00179    0.4172   -8401.1192  0.3088 
   00180    0.4160   -8395.2249  0.3149 
   00181    0.4132   -8368.9692  0.3187 
   00182    0.4268   -8393.3563  0.3199 
