iterations,size,temperature,order,time
500,1,0.5,1.000,0.065574
500,1,0.5,1.000,0.061372
500,2,0.5,0.992,0.072568
500,3,0.5,0.816,0.095756
500,4,0.5,0.896,0.108161
500,5,0.5,0.655,0.160318
500,7,0.5,0.699,0.250439
500,10,0.5,0.907,0.438707
500,14,0.5,0.892,0.782817
500,19,0.5,0.528,1.361936
500,27,0.5,0.635,3.594599
500,37,0.5,0.754,5.412002
500,52,0.5,0.656,10.163491
500,72,0.5,0.405,18.707561
500,100,0.5,0.367,37.015278
1,100,0.5,0.253,0.069396
2,100,0.5,0.262,0.140619
2,100,0.5,0.255,0.142173
4,100,0.5,0.266,0.295210
6,100,0.5,0.273,0.438466
9,100,0.5,0.276,0.785636
14,100,0.5,0.279,1.007638
22,100,0.5,0.289,1.621041
35,100,0.5,0.283,2.579184
54,100,0.5,0.317,3.995842
85,100,0.5,0.331,6.470572
132,100,0.5,0.291,9.824221
206,100,0.5,0.299,15.485814
321,100,0.5,0.287,24.148960
500,100,0.5,0.370,40.923293
