iterations,size,temperature,order,time
500,1,0.5,1.000,0.013300
500,1,0.5,1.000,0.013335
500,2,0.5,0.997,0.023132
500,3,0.5,0.908,0.039038
500,4,0.5,0.910,0.062713
500,5,0.5,0.937,0.079044
500,7,0.5,0.895,0.141678
500,10,0.5,0.868,0.273498
500,14,0.5,0.847,0.514464
500,19,0.5,0.809,0.939083
500,27,0.5,0.791,1.867507
500,37,0.5,0.759,3.567122
500,52,0.5,0.724,6.902971
500,72,0.5,0.356,13.590970
500,100,0.5,0.294,25.922520
1,100,0.5,0.256,0.047626
2,100,0.5,0.252,0.096315
2,100,0.5,0.270,0.096414
4,100,0.5,0.261,0.195363
6,100,0.5,0.274,0.298167
9,100,0.5,0.265,0.449389
14,100,0.5,0.293,0.697620
22,100,0.5,0.270,1.167872
35,100,0.5,0.282,1.900791
54,100,0.5,0.317,3.036033
85,100,0.5,0.338,4.700848
132,100,0.5,0.339,6.798936
206,100,0.5,0.278,10.738962
321,100,0.5,0.375,16.924839
500,100,0.5,0.474,26.208519
