iterations,size,temperature,order,time
1,1,0.5,1.000,0.000198
1,1,0.5,1.000,0.000198
1,2,0.5,0.388,0.000304
1,3,0.5,0.295,0.000409
1,4,0.5,0.521,0.000520
1,5,0.5,0.355,0.000628
1,7,0.5,0.273,0.000872
1,10,0.5,0.366,0.001226
1,14,0.5,0.316,0.001745
1,19,0.5,0.294,0.002441
1,27,0.5,0.276,0.003742
1,37,0.5,0.264,0.005558
1,52,0.5,0.265,0.008798
1,72,0.5,0.257,0.013976
1,100,0.5,0.256,0.022668
2,1,0.5,1.000,0.000345
2,1,0.5,1.000,0.000339
2,2,0.5,0.855,0.000566
2,3,0.5,0.454,0.000774
2,4,0.5,0.544,0.000988
2,5,0.5,0.368,0.001209
2,7,0.5,0.375,0.001683
2,10,0.5,0.432,0.002360
2,14,0.5,0.366,0.003409
2,19,0.5,0.282,0.004830
2,27,0.5,0.290,0.007304
2,37,0.5,0.267,0.010996
2,52,0.5,0.260,0.017394
2,72,0.5,0.268,0.027813
2,100,0.5,0.261,0.044937
2,1,0.5,1.000,0.000341
2,1,0.5,1.000,0.000340
2,2,0.5,0.696,0.000556
2,3,0.5,0.590,0.000762
2,4,0.5,0.493,0.000984
2,5,0.5,0.566,0.001202
2,7,0.5,0.340,0.001672
2,10,0.5,0.419,0.002373
2,14,0.5,0.332,0.003430
2,19,0.5,0.325,0.004834
2,27,0.5,0.270,0.007530
2,37,0.5,0.260,0.011253
2,52,0.5,0.254,0.017352
2,72,0.5,0.265,0.027835
2,100,0.5,0.256,0.046078
4,1,0.5,1.000,0.000608
4,1,0.5,1.000,0.000612
4,2,0.5,0.990,0.001040
4,3,0.5,0.666,0.001470
4,4,0.5,0.609,0.001898
4,5,0.5,0.579,0.002320
4,7,0.5,0.405,0.003255
4,10,0.5,0.489,0.004672
4,14,0.5,0.312,0.006783
4,19,0.5,0.330,0.009596
4,27,0.5,0.296,0.014596
4,37,0.5,0.277,0.021822
4,52,0.5,0.286,0.034470
4,72,0.5,0.263,0.054382
4,100,0.5,0.259,0.088702
6,1,0.5,1.000,0.000870
6,1,0.5,1.000,0.000871
6,2,0.5,0.936,0.001526
6,3,0.5,0.652,0.002273
6,4,0.5,0.867,0.002804
6,5,0.5,0.809,0.003466
6,7,0.5,0.546,0.004807
6,10,0.5,0.365,0.007016
6,14,0.5,0.423,0.010033
6,19,0.5,0.342,0.014291
6,27,0.5,0.251,0.021733
6,37,0.5,0.319,0.032654
6,52,0.5,0.285,0.051790
6,72,0.5,0.270,0.081005
6,100,0.5,0.255,0.131842
9,1,0.5,1.000,0.001243
9,1,0.5,1.000,0.001250
9,2,0.5,0.977,0.002248
9,3,0.5,0.872,0.003184
9,4,0.5,0.911,0.004183
9,5,0.5,0.470,0.005173
