iterations,size,temperature,order,time
500,1,0.5,1.000,0.218358
500,1,0.5,1.000,0.181006
500,2,0.5,0.689,0.171777
500,3,0.5,0.528,0.336142
500,4,0.5,0.286,0.196899
500,5,0.5,0.536,0.347900
500,7,0.5,0.303,0.438771
500,10,0.5,0.293,0.419410
500,14,0.5,0.278,0.657721
500,19,0.5,0.321,1.016394
500,27,0.5,0.280,1.416806
500,37,0.5,0.271,2.239004
500,52,0.5,0.276,3.577556
500,72,0.5,0.256,6.421923
500,100,0.5,0.254,10.037317
1,100,0.5,0.251,0.024263
2,100,0.5,0.252,0.045794
2,100,0.5,0.264,0.047454
4,100,0.5,0.264,0.094291
6,100,0.5,0.261,0.186126
9,100,0.5,0.251,0.185245
14,100,0.5,0.253,0.332492
22,100,0.5,0.259,0.504839
35,100,0.5,0.257,0.738643
54,100,0.5,0.254,1.310272
85,100,0.5,0.257,2.036795
132,100,0.5,0.261,2.749120
206,100,0.5,0.263,4.238362
321,100,0.5,0.263,6.648528
500,100,0.5,0.262,10.897733
