iterations,size,temperature,order,time
1,1,0.5,1.000,0.000165
1,1,0.5,1.000,0.000176
1,2,0.5,0.776,0.000624
1,3,0.5,0.333,0.000369
1,4,0.5,0.372,0.000479
1,5,0.5,0.339,0.000590
1,7,0.5,0.455,0.000840
1,10,0.5,0.400,0.001278
1,14,0.5,0.265,0.001963
1,19,0.5,0.268,0.002948
1,27,0.5,0.284,0.004928
1,37,0.5,0.267,0.008090
1,52,0.5,0.253,0.014183
1,72,0.5,0.263,0.025027
1,100,0.5,0.252,0.043128
2,1,0.5,1.000,0.000291
2,1,0.5,1.000,0.000301
2,2,0.5,0.885,0.000484
2,3,0.5,0.293,0.001585
2,4,0.5,0.485,0.000907
2,5,0.5,0.527,0.001124
2,7,0.5,0.339,0.001630
2,10,0.5,0.304,0.002480
2,14,0.5,0.305,0.003823
2,19,0.5,0.271,0.005836
2,27,0.5,0.263,0.009791
2,37,0.5,0.312,0.016152
2,52,0.5,0.257,0.028350
2,72,0.5,0.262,0.048786
2,100,0.5,0.264,0.085533
2,1,0.5,1.000,0.000292
2,1,0.5,1.000,0.000285
2,2,0.5,0.967,0.000485
2,3,0.5,0.624,0.000685
2,4,0.5,0.395,0.000901
2,5,0.5,0.408,0.001130
2,7,0.5,0.434,0.001650
2,10,0.5,0.306,0.002468
2,14,0.5,0.334,0.003820
2,19,0.5,0.255,0.005801
2,27,0.5,0.281,0.009755
2,37,0.5,0.288,0.016277
2,52,0.5,0.269,0.028305
2,72,0.5,0.255,0.048687
2,100,0.5,0.256,0.085072
4,1,0.5,1.000,0.000521
4,1,0.5,1.000,0.000523
4,2,0.5,0.924,0.000917
4,3,0.5,0.522,0.001302
4,4,0.5,0.594,0.001729
4,5,0.5,0.540,0.002167
4,7,0.5,0.597,0.003385
4,10,0.5,0.359,0.004854
4,14,0.5,0.280,0.007554
4,19,0.5,0.340,0.014978
4,27,0.5,0.264,0.019403
4,37,0.5,0.267,0.032055
4,52,0.5,0.294,0.055142
4,72,0.5,0.263,0.094908
4,100,0.5,0.274,0.169238
6,1,0.5,1.000,0.000735
6,1,0.5,1.000,0.000750
6,2,0.5,0.877,0.001305
6,3,0.5,0.844,0.001905
6,4,0.5,0.785,0.002548
6,5,0.5,0.495,0.003236
6,7,0.5,0.449,0.004678
6,10,0.5,0.617,0.007211
6,14,0.5,0.405,0.011323
6,19,0.5,0.283,0.017571
6,27,0.5,0.333,0.028932
6,37,0.5,0.303,0.047459
6,52,0.5,0.262,0.080939
6,72,0.5,0.262,0.141346
6,100,0.5,0.278,0.252167
9,1,0.5,1.000,0.001066
9,1,0.5,1.000,0.001074
9,2,0.5,0.992,0.001934
9,3,0.5,0.909,0.002821
9,4,0.5,0.875,0.003753
9,5,0.5,0.829,0.004767
9,7,0.5,0.398,0.006955
9,10,0.5,0.487,0.010737
9,14,0.5,0.337,0.018817
9,19,0.5,0.384,0.025648
9,27,0.5,0.385,0.041701
9,37,0.5,0.292,0.084802
9,52,0.5,0.257,0.140032
9,72,0.5,0.281,0.209346
9,100,0.5,0.271,0.378277
14,1,0.5,1.000,0.001596
14,1,0.5,1.000,0.002033
14,2,0.5,0.998,0.002928
14,3,0.5,0.983,0.004304
14,4,0.5,0.847,0.005758
14,5,0.5,0.892,0.007368
14,7,0.5,0.803,0.010761
14,10,0.5,0.402,0.016657
14,14,0.5,0.405,0.026118
14,19,0.5,0.511,0.039928
14,27,0.5,0.372,0.066273
14,37,0.5,0.307,0.107240
14,52,0.5,0.267,0.186004
14,72,0.5,0.282,0.325886
14,100,0.5,0.271,0.588949
22,1,0.5,1.000,0.002389
22,1,0.5,1.000,0.002416
22,2,0.5,0.938,0.004486
22,3,0.5,0.994,0.006659
22,4,0.5,0.972,0.008942
22,5,0.5,0.965,0.011368
22,7,0.5,0.610,0.016719
22,10,0.5,0.421,0.026003
22,14,0.5,0.645,0.041271
22,19,0.5,0.500,0.061433
22,27,0.5,0.302,0.102182
22,37,0.5,0.330,0.166932
22,52,0.5,0.316,0.290637
22,72,0.5,0.331,0.510402
22,100,0.5,0.305,1.156775
35,1,0.5,1.000,0.003732
35,1,0.5,1.000,0.003739
35,2,0.5,0.999,0.007067
35,3,0.5,0.986,0.010456
35,4,0.5,0.974,0.014099
35,5,0.5,0.883,0.018044
35,7,0.5,0.957,0.026544
35,10,0.5,0.610,0.041321
35,14,0.5,0.594,0.068402
35,19,0.5,0.367,0.096104
35,27,0.5,0.408,0.160266
35,37,0.5,0.414,0.262426
35,52,0.5,0.284,0.460074
