iterations,size,temperature,order,time
1,1,0.5,1.000,0.000344
1,1,0.5,1.000,0.000228
1,2,0.5,0.889,0.000303
1,3,0.5,0.426,0.000361
1,4,0.5,0.426,0.000232
1,5,0.5,0.478,0.000310
1,7,0.5,0.293,0.000411
1,10,0.5,0.310,0.000280
1,14,0.5,0.341,0.000435
1,19,0.5,0.257,0.000292
1,27,0.5,0.273,0.000344
1,37,0.5,0.270,0.000605
1,52,0.5,0.259,0.000710
1,72,0.5,0.256,0.001346
1,100,0.5,0.257,0.001630
2,1,0.5,1.000,0.000256
2,1,0.5,1.000,0.000472
2,2,0.5,0.531,0.000739
2,3,0.5,0.395,0.000560
2,4,0.5,0.448,0.000565
2,5,0.5,0.372,0.000619
2,7,0.5,0.441,0.000362
2,10,0.5,0.399,0.000670
2,14,0.5,0.381,0.000456
2,19,0.5,0.359,0.000877
2,27,0.5,0.255,0.000924
2,37,0.5,0.263,0.000974
2,52,0.5,0.271,0.001858
2,72,0.5,0.254,0.002761
2,100,0.5,0.259,0.004046
2,1,0.5,1.000,0.000595
2,1,0.5,1.000,0.000445
2,2,0.5,0.718,0.001189
2,3,0.5,0.614,0.000591
2,4,0.5,0.463,0.000352
2,5,0.5,0.500,0.000520
2,7,0.5,0.372,0.000496
2,10,0.5,0.351,0.000587
2,14,0.5,0.305,0.000676
2,19,0.5,0.272,0.000802
2,27,0.5,0.287,0.001049
2,37,0.5,0.270,0.001316
2,52,0.5,0.258,0.001338
2,72,0.5,0.260,0.002288
2,100,0.5,0.261,0.004600
4,1,0.5,1.000,0.001004
4,1,0.5,1.000,0.000916
4,2,0.5,0.779,0.001007
4,3,0.5,0.483,0.001014
4,4,0.5,0.704,0.001190
4,5,0.5,0.781,0.001055
4,7,0.5,0.405,0.001199
4,10,0.5,0.278,0.000940
4,14,0.5,0.308,0.001185
4,19,0.5,0.379,0.001488
4,27,0.5,0.363,0.001562
4,37,0.5,0.278,0.002275
4,52,0.5,0.281,0.003306
4,72,0.5,0.259,0.003880
4,100,0.5,0.253,0.005959
6,1,0.5,1.000,0.001550
6,1,0.5,1.000,0.001447
6,2,0.5,0.863,0.001366
6,3,0.5,0.927,0.001094
6,4,0.5,0.875,0.001485
6,5,0.5,0.619,0.001260
6,7,0.5,0.341,0.001786
6,10,0.5,0.309,0.001559
6,14,0.5,0.399,0.001424
6,19,0.5,0.360,0.002095
6,27,0.5,0.417,0.002382
6,37,0.5,0.270,0.002960
6,52,0.5,0.305,0.026517
6,72,0.5,0.270,0.021438
6,100,0.5,0.270,0.012349
9,1,0.5,1.000,0.001599
9,1,0.5,1.000,0.001932
9,2,0.5,0.990,0.002284
9,3,0.5,0.916,0.003326
9,4,0.5,0.822,0.002166
9,5,0.5,0.269,0.002135
9,7,0.5,0.454,0.002042
9,10,0.5,0.328,0.002176
9,14,0.5,0.461,0.004382
9,19,0.5,0.405,0.002510
9,27,0.5,0.334,0.003503
9,37,0.5,0.293,0.007435
9,52,0.5,0.279,0.006575
9,72,0.5,0.292,0.010262
9,100,0.5,0.264,0.017732
14,1,0.5,1.000,0.002722
14,1,0.5,1.000,0.003143
14,2,0.5,0.999,0.002829
14,3,0.5,0.921,0.003220
14,4,0.5,0.794,0.002828
14,5,0.5,0.710,0.003012
14,7,0.5,0.655,0.003351
14,10,0.5,0.488,0.004468
14,14,0.5,0.332,0.003636
14,19,0.5,0.322,0.004412
14,27,0.5,0.308,0.006025
14,37,0.5,0.312,0.008259
14,52,0.5,0.338,0.013532
14,72,0.5,0.303,0.016228
14,100,0.5,0.280,0.026589
22,1,0.5,1.000,0.004244
22,1,0.5,1.000,0.004531
22,2,0.5,0.978,0.004240
22,3,0.5,0.819,0.005157
22,4,0.5,0.781,0.004216
22,5,0.5,0.807,0.005004
22,7,0.5,0.835,0.004460
22,10,0.5,0.479,0.004729
