#=====================================================
# File created:        Mon-27-Oct-2025-at-09-42-34PM
# Size of lattice:     10x10
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.350472
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -88.5522  0.2954 
   00001    0.6800    -115.9418  0.3586 
   00002    0.6500    -153.0989  0.3379 
   00003    0.6400    -176.9194  0.3325 
   00004    0.5700    -194.5862  0.3794 
   00005    0.5100    -207.6410  0.3536 
   00006    0.6100    -217.6596  0.3418 
   00007    0.5200    -239.1271  0.3695 
   00008    0.5400    -264.9947  0.3928 
   00009    0.4700    -279.0949  0.3924 
   00010    0.4900    -284.0429  0.4121 
   00011    0.4800    -279.0496  0.4080 
   00012    0.4700    -280.3150  0.4440 
   00013    0.4600    -279.1562  0.4526 
   00014    0.4300    -295.7511  0.4738 
   00015    0.5200    -297.5314  0.5127 
   00016    0.4400    -291.3612  0.4616 
   00017    0.4800    -294.8501  0.5088 
   00018    0.4400    -295.6736  0.5591 
   00019    0.4700    -300.8784  0.5847 
   00020    0.4900    -315.3826  0.6199 
   00021    0.4300    -317.5614  0.6445 
   00022    0.4300    -320.3301  0.6536 
   00023    0.3900    -316.2280  0.6474 
   00024    0.5200    -316.8798  0.6184 
   00025    0.4400    -316.2011  0.6214 
   00026    0.4200    -320.7159  0.6633 
   00027    0.4300    -315.4856  0.6702 
   00028    0.4700    -318.6656  0.6881 
   00029    0.4200    -315.4048  0.6997 
   00030    0.4700    -319.1502  0.7524 
   00031    0.3900    -323.8015  0.7635 
   00032    0.4300    -330.5006  0.7674 
   00033    0.4000    -331.6069  0.7545 
   00034    0.5200    -330.9285  0.7739 
   00035    0.4800    -335.6877  0.8042 
   00036    0.5100    -339.6594  0.8071 
   00037    0.4600    -349.2223  0.8138 
   00038    0.4000    -340.7350  0.7915 
   00039    0.3500    -333.9018  0.7775 
   00040    0.3600    -320.8270  0.7518 
   00041    0.4800    -313.2718  0.7499 
   00042    0.3700    -322.3273  0.7719 
   00043    0.4800    -327.0091  0.7748 
   00044    0.4100    -332.9331  0.7983 
   00045    0.4600    -338.7180  0.8167 
   00046    0.3700    -338.8403  0.8373 
   00047    0.4100    -342.6021  0.8362 
   00048    0.4300    -344.4067  0.8404 
   00049    0.4100    -346.4724  0.8366 
   00050    0.4000    -345.6553  0.8246 
   00051    0.3600    -336.5283  0.8142 
   00052    0.3700    -337.7629  0.8405 
   00053    0.3500    -331.3372  0.8437 
   00054    0.4500    -324.4872  0.8454 
   00055    0.4200    -323.6460  0.8413 
   00056    0.4000    -334.5506  0.8621 
   00057    0.4900    -332.1575  0.8646 
   00058    0.4000    -334.0826  0.8725 
   00059    0.3800    -334.1044  0.8689 
   00060    0.3600    -340.6553  0.8706 
   00061    0.3800    -334.2854  0.8595 
   00062    0.4900    -326.0585  0.8430 
   00063    0.4500    -326.2757  0.8309 
   00064    0.4500    -333.5575  0.8425 
   00065    0.4200    -338.4221  0.8523 
   00066    0.4000    -344.8492  0.8763 
   00067    0.5000    -346.6095  0.8840 
   00068    0.3500    -344.4251  0.8934 
   00069    0.3500    -348.2892  0.8890 
   00070    0.4000    -343.5201  0.8972 
   00071    0.4300    -330.4006  0.8722 
   00072    0.4800    -337.9511  0.8917 
   00073    0.3700    -338.8145  0.8988 
   00074    0.3800    -338.3002  0.8937 
   00075    0.4000    -334.5916  0.8750 
   00076    0.4400    -333.8471  0.8777 
   00077    0.4000    -339.9613  0.8936 
   00078    0.4300    -339.7481  0.8934 
   00079    0.4200    -333.4206  0.8862 
   00080    0.4500    -330.8553  0.8868 
   00081    0.5300    -341.1211  0.8940 
   00082    0.3900    -338.9740  0.8933 
   00083    0.4900    -340.2105  0.8877 
   00084    0.3500    -335.1337  0.8799 
   00085    0.4100    -339.3395  0.8813 
   00086    0.4700    -343.9867  0.8925 
   00087    0.4300    -336.7408  0.8735 
   00088    0.4400    -335.2119  0.8734 
   00089    0.4000    -339.3259  0.8828 
   00090    0.4300    -346.4709  0.8876 
   00091    0.4000    -351.2125  0.9007 
   00092    0.3700    -357.9879  0.8957 
   00093    0.4800    -350.0432  0.8832 
   00094    0.2900    -350.3968  0.8739 
   00095    0.4000    -359.9643  0.8867 
   00096    0.4200    -360.2108  0.8803 
   00097    0.4900    -346.5626  0.8640 
   00098    0.4300    -347.2170  0.8717 
   00099    0.3800    -352.5591  0.8872 
   00100    0.4400    -352.1456  0.8867 
   00101    0.5500    -346.8735  0.8980 
   00102    0.4100    -346.8305  0.9101 
   00103    0.4700    -343.5333  0.9060 
   00104    0.4800    -345.4323  0.9009 
   00105    0.4400    -346.2109  0.8966 
   00106    0.4500    -337.4179  0.8750 
   00107    0.3600    -340.6088  0.8751 
   00108    0.4300    -347.3312  0.8817 
   00109    0.5000    -353.7501  0.8896 
   00110    0.3800    -352.1072  0.8897 
   00111    0.5300    -348.0405  0.8789 
   00112    0.4200    -341.4475  0.8717 
   00113    0.4000    -329.7557  0.8536 
   00114    0.5100    -338.6852  0.8540 
   00115    0.3900    -335.6044  0.8495 
   00116    0.5000    -341.1230  0.8436 
   00117    0.4200    -347.5329  0.8607 
   00118    0.4400    -345.7927  0.8669 
   00119    0.4300    -346.1497  0.8633 
   00120    0.3700    -342.4012  0.8454 
   00121    0.4300    -347.3622  0.8663 
   00122    0.4100    -347.3983  0.8697 
   00123    0.4200    -349.4201  0.8632 
   00124    0.4200    -352.2122  0.8814 
   00125    0.4000    -351.4942  0.8988 
   00126    0.4000    -353.1424  0.8883 
   00127    0.4100    -345.1844  0.8968 
   00128    0.4600    -354.4273  0.9189 
   00129    0.5200    -349.5758  0.9197 
   00130    0.4500    -353.7589  0.9257 
   00131    0.4900    -350.1085  0.9046 
   00132    0.4200    -345.4079  0.9021 
   00133    0.4700    -339.6328  0.8907 
   00134    0.4500    -346.8787  0.8961 
   00135    0.3500    -344.9743  0.8939 
   00136    0.3900    -349.1460  0.9013 
   00137    0.4400    -348.8637  0.9071 
   00138    0.4000    -355.2002  0.9294 
   00139    0.3700    -354.1669  0.9275 
   00140    0.4100    -350.6787  0.9280 
   00141    0.4900    -355.8342  0.9273 
   00142    0.3100    -356.6021  0.9232 
   00143    0.4100    -362.3652  0.9286 
   00144    0.3900    -361.4173  0.9342 
   00145    0.4700    -357.0979  0.9210 
   00146    0.3500    -354.9063  0.9194 
