#=====================================================
# File created:        Sat-18-Oct-2025-at-07-38-19PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        15.967276
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9678.2083  0.2630 
   00001    0.6869  -14718.2943  0.2658 
   00002    0.6288  -17974.4184  0.2746 
   00003    0.5850  -20332.6854  0.2788 
   00004    0.5587  -22068.8615  0.2844 
   00005    0.5307  -23323.9628  0.2913 
   00006    0.5213  -24493.0076  0.2887 
   00007    0.5062  -25492.5688  0.2939 
   00008    0.4927  -26246.2713  0.3027 
   00009    0.4960  -26947.9955  0.3065 
   00010    0.4874  -27619.0165  0.3122 
   00011    0.4775  -28057.4211  0.3141 
   00012    0.4663  -28499.5624  0.3161 
   00013    0.4750  -28995.2450  0.3166 
   00014    0.4638  -29296.4564  0.3145 
   00015    0.4618  -29515.0789  0.3145 
   00016    0.4545  -29677.0951  0.3162 
   00017    0.4541  -29871.6748  0.3178 
   00018    0.4528  -30052.9251  0.3181 
   00019    0.4554  -30425.3063  0.3189 
   00020    0.4534  -30556.3979  0.3176 
   00021    0.4448  -30768.5607  0.3152 
   00022    0.4337  -30868.3976  0.3163 
   00023    0.4408  -30909.5109  0.3152 
   00024    0.4316  -30965.1056  0.3159 
   00025    0.4370  -31109.3414  0.3159 
   00026    0.4444  -31240.5368  0.3142 
   00027    0.4395  -31359.8547  0.3122 
   00028    0.4390  -31411.5000  0.3085 
   00029    0.4385  -31535.1705  0.3086 
   00030    0.4431  -31554.5659  0.3075 
   00031    0.4331  -31611.1447  0.3121 
   00032    0.4177  -31716.9819  0.3129 
   00033    0.4377  -31827.7619  0.3139 
   00034    0.4257  -31927.0621  0.3138 
   00035    0.4243  -32031.2030  0.3148 
   00036    0.4320  -31976.9593  0.3210 
   00037    0.4284  -32004.7436  0.3255 
   00038    0.4307  -32044.4362  0.3251 
   00039    0.4380  -32222.5641  0.3274 
   00040    0.4295  -32273.6126  0.3270 
   00041    0.4366  -32218.4894  0.3293 
   00042    0.4284  -32321.5405  0.3302 
   00043    0.4244  -32392.2063  0.3320 
   00044    0.4258  -32474.0497  0.3308 
   00045    0.4193  -32484.3310  0.3303 
   00046    0.4284  -32582.3393  0.3307 
   00047    0.4306  -32515.3131  0.3274 
   00048    0.4231  -32619.0474  0.3280 
   00049    0.4228  -32617.4282  0.3263 
   00050    0.4286  -32686.3880  0.3248 
   00051    0.4260  -32616.0580  0.3244 
   00052    0.4206  -32642.6593  0.3254 
   00053    0.4248  -32676.0786  0.3233 
   00054    0.4251  -32644.6177  0.3227 
   00055    0.4203  -32748.3648  0.3244 
   00056    0.4208  -32649.4058  0.3234 
   00057    0.4304  -32704.4262  0.3297 
   00058    0.4358  -32668.1930  0.3275 
   00059    0.4294  -32711.6186  0.3297 
   00060    0.4302  -32757.3995  0.3330 
   00061    0.4294  -32747.0431  0.3315 
   00062    0.4195  -32800.2361  0.3302 
   00063    0.4256  -32857.6975  0.3322 
   00064    0.4216  -32880.7191  0.3322 
   00065    0.4269  -32870.5758  0.3323 
   00066    0.4304  -32905.2605  0.3320 
   00067    0.4283  -32913.1753  0.3323 
   00068    0.4229  -32932.8604  0.3334 
   00069    0.4240  -32967.3383  0.3314 
   00070    0.4243  -32901.6337  0.3312 
   00071    0.4199  -32912.2194  0.3332 
   00072    0.4267  -32977.4107  0.3313 
   00073    0.4214  -33009.5103  0.3298 
   00074    0.4126  -33009.0898  0.3295 
   00075    0.4205  -33049.1041  0.3281 
   00076    0.4116  -33100.9592  0.3279 
   00077    0.4275  -33134.6556  0.3292 
   00078    0.4203  -33112.8465  0.3307 
   00079    0.4203  -33104.3872  0.3333 
   00080    0.4227  -33091.9770  0.3322 
   00081    0.4250  -33022.0369  0.3340 
   00082    0.4197  -33049.5639  0.3353 
   00083    0.4286  -33070.7317  0.3348 
   00084    0.4187  -33164.6263  0.3318 
   00085    0.4263  -33167.3083  0.3308 
   00086    0.4200  -33318.3655  0.3321 
   00087    0.4328  -33315.5886  0.3301 
   00088    0.4342  -33300.3599  0.3310 
   00089    0.4151  -33327.6891  0.3322 
   00090    0.4072  -33346.2966  0.3367 
   00091    0.4181  -33295.7623  0.3388 
   00092    0.4126  -33324.3731  0.3385 
   00093    0.4137  -33425.6934  0.3376 
   00094    0.4206  -33384.4627  0.3399 
   00095    0.4182  -33291.4726  0.3362 
   00096    0.4216  -33284.2308  0.3402 
   00097    0.4173  -33380.5680  0.3426 
   00098    0.4258  -33297.3507  0.3425 
   00099    0.4149  -33322.7233  0.3434 
   00100    0.4118  -33297.2478  0.3436 
