iterations,size,temperature,order,time
500,1,0.5,1.000,0.019519
500,1,0.5,1.000,0.018893
500,2,0.5,0.981,0.039578
500,3,0.5,0.929,0.076252
500,4,0.5,0.937,0.122325
500,5,0.5,0.915,0.180132
500,7,0.5,0.915,0.338876
500,10,0.5,0.903,0.669156
500,14,0.5,0.892,1.292931
500,19,0.5,0.839,2.346895
500,27,0.5,0.474,4.925327
500,37,0.5,0.373,9.124238
500,52,0.5,0.641,17.775700
500,72,0.5,0.264,34.056818
500,100,0.5,0.291,67.559233
1,100,0.5,0.252,0.126721
2,100,0.5,0.263,0.258394
2,100,0.5,0.255,0.257233
4,100,0.5,0.272,0.516174
6,100,0.5,0.262,0.774747
9,100,0.5,0.270,1.153956
14,100,0.5,0.255,1.939658
22,100,0.5,0.306,2.831483
35,100,0.5,0.324,4.570872
54,100,0.5,0.315,7.455028
85,100,0.5,0.359,11.823777
132,100,0.5,0.325,17.606973
206,100,0.5,0.308,26.774171
321,100,0.5,0.341,42.220265
500,100,0.5,0.320,66.970563
